"","Nonnao-new Last (V)","BPV-G Last (V)","BPV Educational Toolkit Last (V)","BPV-A Last (V)","Single-ended 5 Last (V)","BPV-C Last (V)","BPV-H  Last (V)","BPV-B Last (V)","BPV-F CAP-Charg. Dif 9 - 10 Last (V)","Mud-Power Last (V)"
"125:32:09","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:10","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:11","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:12","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:13","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:14","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:15","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:16","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:17","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:18","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:19","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:20","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:21","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:22","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:23","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:24","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:25","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:26","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:27","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:28","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:29","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:30","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:31","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:32","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:33","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:34","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:35","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:36","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:37","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:38","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:39","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:40","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:41","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:42","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:43","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:44","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:45","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:46","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:47","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:48","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:49","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:50","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:51","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:52","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:53","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:54","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:55","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:56","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:57","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:58","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:59","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:33:00","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:33:01","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:02","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:03","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:04","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:05","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:06","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:07","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:08","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:09","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:10","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:11","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:12","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:13","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:14","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:15","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:16","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:17","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:18","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:19","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:20","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:21","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:22","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:23","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
