,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:05:14,0,0,0.78,0.91,1.16
55:05:15,1,0.016666667,0.77,0.91,1.17
55:05:16,2,0.033333333,0.76,0.91,1.19
55:05:17,3,0.05,0.76,0.91,1.11
55:05:18,4,0.066666667,0.75,0.91,1.17
55:05:19,5,0.083333333,0.74,0.91,1.11
55:05:20,6,0.1,0.73,0.91,1.13
55:05:21,7,0.116666667,0.73,0.91,1.14
55:05:22,8,0.133333333,0.72,0.91,1.09
55:05:23,9,0.15,0.72,0.91,1.15
55:05:24,10,0.166666667,0.71,0.91,1.08
55:05:25,11,0.183333333,0.7,0.91,1.14
55:05:26,12,0.2,0.7,0.91,1.12
55:05:27,13,0.216666667,0.69,0.92,1.1
55:05:28,14,0.233333333,0.69,0.92,1.15
55:05:29,15,0.25,0.68,0.92,1.08
55:05:30,16,0.266666667,0.68,0.92,1.13
55:05:31,17,0.283333333,0.68,0.92,1.11
55:05:32,18,0.3,0.68,0.92,1.09
55:05:33,19,0.316666667,0.67,0.92,1.15
55:05:34,20,0.333333333,0.67,0.92,1.08
55:05:35,21,0.35,0.67,0.92,1.14
55:05:36,22,0.366666667,0.66,0.92,1.12
55:05:37,23,0.383333333,0.66,0.92,1.1
55:05:38,24,0.4,0.66,0.93,1.16
55:05:39,25,0.416666667,0.65,0.93,1.08
55:05:40,26,0.433333333,0.65,0.93,1.14
55:05:41,27,0.45,0.65,0.93,1.12
55:05:42,28,0.466666667,0.65,0.93,1.1
55:05:43,29,0.483333333,0.65,0.93,1.16
55:05:44,30,0.5,0.65,0.93,1.09
55:05:45,31,0.516666667,0.65,0.93,1.15
55:05:46,32,0.533333333,0.64,0.93,1.11
55:05:47,33,0.55,0.64,0.93,1.12
55:05:48,34,0.566666667,0.64,0.93,1.15
55:05:49,35,0.583333333,0.64,0.93,1.1
55:05:50,36,0.6,0.64,0.93,1.17
55:05:51,37,0.616666667,0.64,0.93,1.11
55:05:52,38,0.633333333,0.64,0.93,1.16
55:05:53,39,0.65,0.64,0.93,1.15
55:05:54,40,0.666666667,0.64,0.93,1.12
55:05:55,41,0.683333333,0.64,0.93,1.17
55:05:56,42,0.7,0.63,0.93,1.1
55:05:57,43,0.716666667,0.63,0.93,1.17
55:05:58,44,0.733333333,0.63,0.93,1.12
55:05:59,45,0.75,0.63,0.93,1.14
55:06:00,46,0.766666667,0.63,0.93,1.15
55:06:01,47,0.783333333,0.63,0.93,1.11
55:06:02,48,0.8,0.63,0.93,1.18
55:06:03,49,0.816666667,0.63,0.93,1.11
55:06:04,50,0.833333333,0.63,0.93,1.17
55:06:05,51,0.85,0.63,0.93,1.14
55:06:06,52,0.866666667,0.63,0.93,1.12
55:06:07,53,0.883333333,0.63,0.93,1.18
55:06:08,54,0.9,0.63,0.93,1.11
55:06:09,55,0.916666667,0.63,0.93,1.18
55:06:10,56,0.933333333,0.63,0.93,1.14
55:06:11,57,0.95,0.63,0.93,1.15
55:06:12,58,0.966666667,0.63,0.93,1.17
55:06:13,59,0.983333333,0.63,0.93,1.12
55:06:14,60,1,0.63,0.93,1.18
55:06:15,61,1.016666667,0.63,0.93,1.12
55:06:16,62,1.033333333,0.63,0.93,1.16
55:06:17,63,1.05,0.63,0.93,1.15
55:06:18,64,1.066666667,0.63,0.93,1.12
55:06:19,65,1.083333333,0.63,0.93,1.18
55:06:20,66,1.1,0.63,0.93,1.11
55:06:21,67,1.116666667,0.63,0.93,1.18
