Wavelength nm.,C5,C5,C5,C8,C8,C8,C18,C18,C18,C36,C36,C36,C72,C72,C72,C144,C144,C144
230,0.03456,0.05669,0.04041,0.04044,0.06001,0.05948,0.14587,0.15985,0.18948,0.07661,0.17522,0.19138,0.06725,0.06747,0.10739,0.09416,0.1219,0.10136
231,0.04297,0.04478,0.06883,0.04527,0.05872,0.06474,0.11635,0.14919,0.15668,0.0692,0.16302,0.16151,0.063,0.10927,0.10918,0.10422,0.12135,0.10938
232,0.06697,0.06627,0.06438,0.06184,0.07275,0.07065,0.14815,0.15193,0.15881,0.06741,0.14273,0.16779,0.07491,0.1179,0.12892,0.09775,0.12,0.1302
233,0.06021,0.05748,0.06656,0.07213,0.04471,0.06419,0.13911,0.14525,0.14557,0.05304,0.15594,0.16241,0.06833,0.10945,0.08556,0.09099,0.10616,0.10272
234,0.05659,0.054,0.05336,0.07004,0.05243,0.07317,0.13521,0.14746,0.14684,0.06114,0.15933,0.15381,0.05939,0.10719,0.09801,0.08517,0.10005,0.10283
235,0.06734,0.0679,0.07257,0.08418,0.07169,0.07936,0.13972,0.16768,0.1734,0.06314,0.15781,0.16528,0.06731,0.10388,0.11037,0.08755,0.11713,0.1046
236,0.08521,0.08293,0.09642,0.0936,0.0916,0.09816,0.16158,0.16747,0.17934,0.09019,0.17789,0.18858,0.08356,0.11353,0.1255,0.11072,0.13327,0.1347
237,0.1214,0.11525,0.1275,0.12794,0.12192,0.13071,0.1837,0.19942,0.20897,0.12944,0.21638,0.23019,0.14459,0.18155,0.16776,0.17136,0.19781,0.19991
238,0.19496,0.19379,0.20056,0.19859,0.2065,0.20493,0.25958,0.26932,0.27007,0.24368,0.3166,0.3121,0.29779,0.32521,0.32103,0.34384,0.36028,0.37405
239,0.24792,0.2458,0.25226,0.25656,0.25984,0.26057,0.30435,0.3089,0.32237,0.34102,0.40536,0.40636,0.47752,0.49937,0.49588,0.56409,0.6037,0.60625
240,0.26852,0.26273,0.26662,0.27824,0.28026,0.2757,0.32748,0.32497,0.33612,0.42,0.46288,0.46022,0.65222,0.65787,0.66003,0.80479,0.8643,0.86307
241,0.26096,0.2585,0.26123,0.27544,0.27565,0.2739,0.3304,0.33057,0.33792,0.46172,0.49693,0.49637,0.77979,0.78329,0.78226,1.00578,1.10117,1.10118
242,0.25211,0.25058,0.25204,0.26874,0.26974,0.26804,0.33202,0.32976,0.33763,0.4864,0.52071,0.51906,0.8746,0.87022,0.8687,1.17471,1.28651,1.29675
243,0.24272,0.24017,0.24179,0.26012,0.26003,0.25883,0.33095,0.32773,0.33514,0.50301,0.53773,0.53522,0.94859,0.94312,0.94232,1.31606,1.46944,1.46724
244,0.23448,0.23189,0.23364,0.25389,0.25362,0.25186,0.33087,0.32791,0.33405,0.51711,0.55045,0.54811,1.00803,0.99731,0.99646,1.42758,1.60457,1.59843
245,0.22809,0.22581,0.22742,0.24899,0.24866,0.2471,0.33192,0.32889,0.33438,0.53188,0.5639,0.56189,1.05876,1.04521,1.04588,1.5209,1.71039,1.71466
246,0.22302,0.22081,0.22217,0.24521,0.24449,0.24292,0.33449,0.33151,0.33667,0.54539,0.57948,0.57736,1.10562,1.0909,1.09023,1.61139,1.80385,1.80486
