"","Oxy Electrode 1 Last (V)","OxyElectrode 2 Last (V)","OxyElectrode 3 Last (V)"
"79:05:50","0.416","0.590","0.434"
"79:05:51","0.416","0.590","0.434"
"79:05:52","0.417","0.592","0.434"
"79:05:53","0.417","0.591","0.433"
"79:05:54","0.416","0.590","0.434"
"79:05:55","0.416","0.591","0.433"
"79:05:56","0.416","0.591","0.434"
"79:05:57","0.417","0.591","0.432"
"79:05:58","0.416","0.590","0.434"
"79:05:59","0.416","0.590","0.433"
"79:06:00","0.416","0.591","0.433"
"79:06:01","0.417","0.591","0.432"
"79:06:02","0.416","0.589","0.433"
"79:06:03","0.415","0.590","0.433"
"79:06:04","0.416","0.590","0.432"
"79:06:05","0.416","0.590","0.433"
"79:06:06","0.416","0.589","0.432"
"79:06:07","0.415","0.589","0.433"
"79:06:08","0.416","0.590","0.432"
"79:06:09","0.415","0.589","0.432"
"79:06:10","0.415","0.588","0.432"
"79:06:11","0.415","0.589","0.432"
"79:06:12","0.416","0.588","0.431"
"79:06:13","0.415","0.587","0.433"
"79:06:14","0.415","0.589","0.432"
"79:06:15","0.416","0.589","0.432"
"79:06:16","0.415","0.589","0.431"
"79:06:17","0.415","0.588","0.433"
"79:06:18","0.415","0.590","0.431"
"79:06:19","0.415","0.588","0.432"
"79:06:20","0.414","0.589","0.431"
"79:06:21","0.415","0.589","0.433"
"79:06:22","0.416","0.590","0.431"
"79:06:23","0.417","0.588","0.432"
"79:06:24","0.416","0.590","0.432"
"79:06:25","0.417","0.590","0.432"
"79:06:26","0.416","0.589","0.432"
"79:06:27","0.417","0.590","0.432"
"79:06:28","0.418","0.593","0.433"
"79:06:29","0.419","0.592","0.432"
"79:06:30","0.418","0.590","0.433"
"79:06:31","0.419","0.592","0.432"
"79:06:32","0.421","0.592","0.432"
"79:06:33","0.428","0.591","0.432"
"79:06:34","0.439","0.592","0.434"
"79:06:35","0.447","0.595","0.433"
"79:06:36","0.455","0.594","0.434"
"79:06:37","0.459","0.606","0.434"
"79:06:38","0.468","0.614","0.437"
"79:06:39","0.472","0.616","0.435"
"79:06:40","0.476","0.616","0.437"
"79:06:41","0.479","0.620","0.438"
"79:06:42","0.485","0.623","0.449"
"79:06:43","0.488","0.625","0.454"
"79:06:44","0.491","0.627","0.458"
"79:06:45","0.502","0.630","0.461"
"79:06:46","0.540","0.631","0.463"
