"","Oxy Electrode 1 Last (V)","OxyElectrode 2 Last (V)","OxyElectrode 3 Last (V)"
"75:42:13","0.922","0.854","0.823"
"75:42:14","0.924","0.853","0.826"
"75:42:15","0.923","0.850","0.827"
"75:42:16","0.923","0.848","0.830"
"75:42:17","0.924","0.847","0.828"
"75:42:18","0.923","0.843","0.811"
"75:42:19","0.923","0.842","0.803"
"75:42:20","0.922","0.837","0.792"
"75:42:21","0.920","0.853","0.787"
"75:42:22","0.903","0.864","0.785"
"75:42:23","0.885","0.874","0.782"
"75:42:24","0.878","0.883","0.781"
"75:42:25","0.884","0.891","0.781"
"75:42:26","0.884","0.893","0.782"
"75:42:27","0.878","0.900","0.781"
"75:42:28","0.877","0.905","0.782"
"75:42:29","0.878","0.910","0.784"
"75:42:30","0.880","0.911","0.784"
"75:42:31","0.881","0.915","0.800"
"75:42:32","0.885","0.918","0.802"
"75:42:33","0.886","0.921","0.804"
"75:42:34","0.886","0.925","0.809"
"75:42:35","0.890","0.929","0.815"
"75:42:36","0.890","0.932","0.821"
"75:42:37","0.894","0.936","0.828"
"75:42:38","0.894","0.939","0.829"
"75:42:39","0.896","0.941","0.833"
"75:42:40","0.897","0.941","0.834"
"75:42:41","0.898","0.935","0.835"
"75:42:42","0.900","0.928","0.835"
"75:42:43","0.900","0.919","0.835"
"75:42:44","0.906","0.910","0.836"
"75:42:45","0.914","0.903","0.835"
"75:42:46","0.917","0.893","0.836"
"75:42:47","0.919","0.892","0.834"
"75:42:48","0.922","0.917","0.836"
"75:42:49","0.924","0.938","0.839"
"75:42:50","0.928","0.956","0.858"
"75:42:51","0.929","0.962","0.853"
"75:42:52","0.930","0.966","0.846"
"75:42:53","0.931","0.968","0.842"
"75:42:54","0.931","0.969","0.843"
"75:42:55","0.932","0.972","0.842"
"75:42:56","0.933","0.973","0.843"
"75:42:57","0.932","0.974","0.843"
"75:42:58","0.934","0.977","0.843"
"75:42:59","0.933","0.977","0.843"
"75:43:00","0.934","0.978","0.843"
"75:43:01","0.934","0.980","0.844"
"75:43:02","0.934","0.979","0.844"
"75:43:03","0.935","0.983","0.844"
"75:43:04","0.935","0.981","0.844"
"75:43:05","0.935","0.983","0.845"
"75:43:06","0.935","0.984","0.844"
"75:43:07","0.935","0.984","0.846"
"75:43:08","0.931","0.986","0.844"
"75:43:09","0.908","0.984","0.845"
"75:43:10","0.899","0.985","0.844"
"75:43:11","0.896","0.985","0.844"
"75:43:12","0.893","0.984","0.844"
"75:43:13","0.895","0.965","0.845"
"75:43:14","0.894","0.953","0.842"
"75:43:15","0.894","0.944","0.843"
"75:43:16","0.895","0.940","0.841"
"75:43:17","0.896","0.938","0.820"
"75:43:18","0.897","0.940","0.815"
"75:43:19","0.898","0.939","0.808"
"75:43:20","0.900","0.942","0.806"
"75:43:21","0.903","0.944","0.802"
"75:43:22","0.903","0.947","0.800"
"75:43:23","0.906","0.947","0.797"
"75:43:24","0.907","0.947","0.797"
"75:43:25","0.908","0.951","0.797"
"75:43:26","0.911","0.955","0.797"
"75:43:27","0.911","0.957","0.798"
"75:43:28","0.914","0.961","0.801"
"75:43:29","0.915","0.963","0.801"
"75:43:30","0.916","0.965","0.804"
"75:43:31","0.918","0.968","0.803"
"75:43:32","0.919","0.969","0.806"
"75:43:33","0.920","0.972","0.807"
"75:43:34","0.922","0.972","0.807"
"75:43:35","0.921","0.974","0.809"
"75:43:36","0.924","0.976","0.810"
"75:43:37","0.923","0.976","0.813"
"75:43:38","0.924","0.977","0.813"
"75:43:39","0.926","0.978","0.814"
"75:43:40","0.925","0.975","0.814"
"75:43:41","0.928","0.978","0.815"
"75:43:42","0.928","0.977","0.815"
"75:43:43","0.928","0.981","0.818"
"75:43:44","0.929","0.981","0.818"
"75:43:45","0.929","0.981","0.821"
"75:43:46","0.930","0.983","0.819"
"75:43:47","0.931","0.984","0.822"
"75:43:48","0.930","0.985","0.822"
"75:43:49","0.932","0.985","0.823"
"75:43:50","0.931","0.985","0.823"
"75:43:51","0.933","0.985","0.823"
"75:43:52","0.933","0.986","0.824"
"75:43:53","0.933","0.987","0.826"
"75:43:54","0.933","0.988","0.826"
"75:43:55","0.933","0.985","0.827"
"75:43:56","0.934","0.990","0.826"
"75:43:57","0.934","0.990","0.827"
"75:43:58","0.934","0.992","0.828"
"75:43:59","0.935","0.990","0.827"
"75:44:00","0.934","0.988","0.828"
"75:44:01","0.935","0.987","0.827"
"75:44:02","0.935","0.989","0.828"
"75:44:03","0.934","0.991","0.828"
"75:44:04","0.936","0.990","0.829"
"75:44:05","0.934","0.989","0.829"
"75:44:06","0.936","0.993","0.830"
"75:44:07","0.936","0.993","0.829"
"75:44:08","0.936","0.993","0.831"
"75:44:09","0.937","0.993","0.829"
"75:44:10","0.936","0.989","0.830"
"75:44:11","0.936","0.992","0.829"
"75:44:12","0.936","0.990","0.830"
"75:44:13","0.936","0.993","0.831"
"75:44:14","0.937","0.992","0.830"
"75:44:15","0.935","0.992","0.832"
"75:44:16","0.936","0.991","0.830"
"75:44:17","0.935","0.992","0.831"
"75:44:18","0.936","0.993","0.830"
"75:44:19","0.936","0.991","0.831"
"75:44:20","0.935","0.991","0.830"
"75:44:21","0.937","0.990","0.830"
"75:44:22","0.935","0.991","0.830"
"75:44:23","0.937","0.994","0.831"
"75:44:24","0.935","0.994","0.830"
"75:44:25","0.937","0.995","0.832"
"75:44:26","0.936","0.995","0.831"
"75:44:27","0.936","0.994","0.831"
"75:44:28","0.936","0.995","0.830"
"75:44:29","0.935","0.991","0.831"
"75:44:30","0.936","0.994","0.830"
"75:44:31","0.935","0.992","0.831"
"75:44:32","0.935","0.994","0.831"
"75:44:33","0.936","0.993","0.830"
"75:44:34","0.935","0.993","0.831"
"75:44:35","0.935","0.993","0.830"
"75:44:36","0.935","0.993","0.831"
"75:44:37","0.935","0.995","0.830"
"75:44:38","0.935","0.993","0.831"
"75:44:39","0.934","0.994","0.830"
"75:44:40","0.935","0.996","0.830"
"75:44:41","0.933","0.994","0.829"
"75:44:42","0.934","0.994","0.830"
"75:44:43","0.933","0.994","0.829"
"75:44:44","0.933","0.993","0.831"
"75:44:45","0.933","0.995","0.829"
"75:44:46","0.932","0.992","0.830"
"75:44:47","0.932","0.993","0.830"
"75:44:48","0.933","0.993","0.829"
"75:44:49","0.932","0.993","0.831"
"75:44:50","0.933","0.993","0.830"
"75:44:51","0.932","0.992","0.830"
"75:44:52","0.933","0.993","0.829"
"75:44:53","0.933","0.991","0.830"
"75:44:54","0.931","0.992","0.829"
"75:44:55","0.933","0.993","0.830"
"75:44:56","0.931","0.990","0.828"
"75:44:57","0.931","0.989","0.830"
"75:44:58","0.931","0.989","0.827"
"75:44:59","0.931","0.989","0.829"
"75:45:00","0.931","0.990","0.828"
"75:45:01","0.931","0.988","0.829"
"75:45:02","0.930","0.988","0.828"
"75:45:03","0.931","0.987","0.828"
"75:45:04","0.930","0.988","0.828"
"75:45:05","0.931","0.987","0.828"
"75:45:06","0.930","0.986","0.828"
"75:45:07","0.929","0.986","0.828"
"75:45:08","0.930","0.988","0.828"
"75:45:09","0.928","0.987","0.827"
"75:45:10","0.929","0.988","0.828"
"75:45:11","0.929","0.987","0.826"
"75:45:12","0.929","0.987","0.828"
"75:45:13","0.929","0.987","0.827"
"75:45:14","0.929","0.984","0.828"
"75:45:15","0.928","0.985","0.826"
"75:45:16","0.929","0.985","0.827"
"75:45:17","0.927","0.986","0.827"
"75:45:18","0.929","0.986","0.827"
"75:45:19","0.927","0.985","0.826"
"75:45:20","0.929","0.986","0.827"
"75:45:21","0.928","0.985","0.827"
"75:45:22","0.927","0.983","0.827"
"75:45:23","0.927","0.984","0.827"
"75:45:24","0.926","0.981","0.827"
"75:45:25","0.927","0.984","0.827"
"75:45:26","0.927","0.983","0.826"
"75:45:27","0.922","0.985","0.827"
"75:45:28","0.910","0.985","0.825"
"75:45:29","0.906","0.983","0.826"
"75:45:30","0.905","0.984","0.824"
"75:45:31","0.904","0.982","0.825"
"75:45:32","0.903","0.983","0.824"
"75:45:33","0.904","0.972","0.825"
"75:45:34","0.902","0.965","0.823"
"75:45:35","0.904","0.959","0.824"
"75:45:36","0.902","0.956","0.822"
"75:45:37","0.904","0.956","0.823"
"75:45:38","0.903","0.957","0.816"
"75:45:39","0.905","0.958","0.816"
"75:45:40","0.905","0.959","0.814"
"75:45:41","0.906","0.960","0.811"
"75:45:42","0.906","0.961","0.809"
"75:45:43","0.906","0.961","0.807"
"75:45:44","0.908","0.963","0.807"
"75:45:45","0.908","0.962","0.808"
"75:45:46","0.910","0.965","0.808"
"75:45:47","0.909","0.964","0.807"
"75:45:48","0.911","0.965","0.808"
"75:45:49","0.911","0.964","0.806"
"75:45:50","0.911","0.964","0.808"
"75:45:51","0.913","0.967","0.807"
"75:45:52","0.914","0.966","0.808"
"75:45:53","0.914","0.968","0.808"
"75:45:54","0.916","0.968","0.808"
"75:45:55","0.914","0.969","0.808"
"75:45:56","0.917","0.969","0.809"
"75:45:57","0.915","0.970","0.808"
"75:45:58","0.917","0.970","0.809"
"75:45:59","0.917","0.971","0.810"
"75:46:00","0.917","0.971","0.810"
"75:46:01","0.919","0.973","0.811"
"75:46:02","0.918","0.972","0.812"
"75:46:03","0.919","0.974","0.812"
"75:46:04","0.919","0.973","0.811"
"75:46:05","0.919","0.975","0.814"
"75:46:06","0.920","0.977","0.812"
"75:46:07","0.920","0.976","0.814"
"75:46:08","0.920","0.977","0.813"
"75:46:09","0.921","0.975","0.814"
"75:46:10","0.920","0.976","0.814"
"75:46:11","0.922","0.977","0.814"
"75:46:12","0.920","0.978","0.815"
"75:46:13","0.922","0.979","0.815"
"75:46:14","0.921","0.978","0.815"
"75:46:15","0.921","0.976","0.816"
"75:46:16","0.921","0.976","0.815"
"75:46:17","0.921","0.974","0.815"
"75:46:18","0.922","0.976","0.815"
"75:46:19","0.921","0.973","0.815"
"75:46:20","0.922","0.976","0.817"
"75:46:21","0.923","0.977","0.815"
"75:46:22","0.923","0.978","0.818"
"75:46:23","0.923","0.979","0.817"
"75:46:24","0.924","0.977","0.818"
"75:46:25","0.922","0.978","0.817"
"75:46:26","0.924","0.978","0.818"
"75:46:27","0.922","0.977","0.818"
"75:46:28","0.924","0.978","0.818"
"75:46:29","0.923","0.979","0.818"
"75:46:30","0.923","0.979","0.820"
"75:46:31","0.923","0.978","0.818"
"75:46:32","0.923","0.975","0.819"
"75:46:33","0.923","0.979","0.818"
"75:46:34","0.923","0.978","0.818"
"75:46:35","0.922","0.979","0.819"
"75:46:36","0.924","0.980","0.818"
"75:46:37","0.923","0.981","0.819"
"75:46:38","0.923","0.982","0.818"
"75:46:39","0.924","0.981","0.819"
"75:46:40","0.922","0.981","0.819"
"75:46:41","0.924","0.981","0.819"
"75:46:42","0.922","0.979","0.818"
"75:46:43","0.923","0.979","0.819"
"75:46:44","0.923","0.978","0.817"
"75:46:45","0.923","0.976","0.818"
"75:46:46","0.923","0.977","0.816"
"75:46:47","0.923","0.976","0.818"
"75:46:48","0.923","0.980","0.817"
"75:46:49","0.924","0.979","0.817"
"75:46:50","0.922","0.980","0.818"
"75:46:51","0.924","0.982","0.818"
"75:46:52","0.922","0.982","0.819"
"75:46:53","0.923","0.981","0.818"
"75:46:54","0.923","0.982","0.819"
"75:46:55","0.922","0.980","0.819"
"75:46:56","0.923","0.981","0.819"
"75:46:57","0.922","0.978","0.819"
"75:46:58","0.923","0.978","0.819"
"75:46:59","0.922","0.976","0.817"
"75:47:00","0.922","0.979","0.819"
"75:47:01","0.922","0.981","0.817"
"75:47:02","0.922","0.979","0.819"
"75:47:03","0.922","0.981","0.817"
"75:47:04","0.922","0.977","0.818"
"75:47:05","0.921","0.978","0.817"
"75:47:06","0.922","0.977","0.817"
"75:47:07","0.921","0.979","0.818"
"75:47:08","0.922","0.980","0.818"
"75:47:09","0.921","0.980","0.818"
"75:47:10","0.922","0.980","0.818"
"75:47:11","0.921","0.980","0.818"
"75:47:12","0.921","0.978","0.818"
"75:47:13","0.922","0.979","0.818"
"75:47:14","0.920","0.977","0.818"
"75:47:15","0.921","0.980","0.818"
"75:47:16","0.921","0.978","0.817"
"75:47:17","0.921","0.980","0.818"
"75:47:18","0.921","0.980","0.817"
"75:47:19","0.920","0.980","0.819"
"75:47:20","0.921","0.982","0.817"
"75:47:21","0.920","0.979","0.818"
"75:47:22","0.920","0.981","0.817"
"75:47:23","0.921","0.979","0.818"
"75:47:24","0.919","0.980","0.817"
"75:47:25","0.921","0.979","0.817"
"75:47:26","0.919","0.978","0.817"
"75:47:27","0.921","0.979","0.816"
"75:47:28","0.919","0.976","0.817"
"75:47:29","0.920","0.974","0.816"
"75:47:30","0.920","0.974","0.816"
"75:47:31","0.918","0.976","0.816"
"75:47:32","0.920","0.978","0.816"
"75:47:33","0.919","0.977","0.816"
"75:47:34","0.920","0.979","0.816"
"75:47:35","0.919","0.977","0.815"
"75:47:36","0.919","0.978","0.816"
"75:47:37","0.919","0.979","0.815"
"75:47:38","0.918","0.978","0.817"
"75:47:39","0.919","0.979","0.815"
"75:47:40","0.918","0.978","0.816"
"75:47:41","0.918","0.979","0.815"
"75:47:42","0.918","0.977","0.816"
"75:47:43","0.917","0.978","0.817"
"75:47:44","0.919","0.978","0.816"
"75:47:45","0.917","0.975","0.817"
"75:47:46","0.918","0.975","0.815"
"75:47:47","0.917","0.973","0.815"
"75:47:48","0.916","0.973","0.815"
"75:47:49","0.918","0.975","0.814"
"75:47:50","0.916","0.973","0.814"
"75:47:51","0.917","0.975","0.815"
"75:47:52","0.917","0.974","0.814"
"75:47:53","0.916","0.973","0.816"
"75:47:54","0.917","0.974","0.814"
"75:47:55","0.916","0.973","0.815"
"75:47:56","0.915","0.974","0.815"
"75:47:57","0.917","0.974","0.815"
"75:47:58","0.915","0.975","0.815"
"75:47:59","0.916","0.976","0.815"
"75:48:00","0.916","0.975","0.814"
"75:48:01","0.915","0.974","0.814"
"75:48:02","0.916","0.976","0.813"
"75:48:03","0.915","0.973","0.814"
"75:48:04","0.914","0.971","0.814"
"75:48:05","0.914","0.970","0.813"
"75:48:06","0.913","0.970","0.814"
"75:48:07","0.914","0.971","0.812"
"75:48:08","0.915","0.972","0.813"
"75:48:09","0.913","0.971","0.813"
"75:48:10","0.914","0.973","0.813"
"75:48:11","0.914","0.972","0.812"
"75:48:12","0.913","0.973","0.814"
"75:48:13","0.913","0.975","0.812"
"75:48:14","0.913","0.972","0.813"
"75:48:15","0.912","0.973","0.812"
"75:48:16","0.913","0.973","0.813"
"75:48:17","0.912","0.972","0.812"
"75:48:18","0.912","0.971","0.812"
"75:48:19","0.913","0.972","0.812"
"75:48:20","0.912","0.970","0.812"
"75:48:21","0.913","0.970","0.812"
"75:48:22","0.912","0.966","0.811"
"75:48:23","0.912","0.967","0.813"
"75:48:24","0.912","0.969","0.811"
"75:48:25","0.912","0.969","0.812"
"75:48:26","0.911","0.971","0.812"
"75:48:27","0.913","0.972","0.812"
"75:48:28","0.911","0.968","0.811"
"75:48:29","0.911","0.968","0.812"
"75:48:30","0.911","0.968","0.811"
"75:48:31","0.911","0.967","0.812"
"75:48:32","0.910","0.969","0.811"
"75:48:33","0.912","0.969","0.812"
"75:48:34","0.909","0.970","0.810"
"75:48:35","0.910","0.971","0.811"
"75:48:36","0.910","0.971","0.810"
"75:48:37","0.910","0.969","0.810"
"75:48:38","0.910","0.971","0.809"
"75:48:39","0.910","0.971","0.809"
"75:48:40","0.909","0.972","0.811"
"75:48:41","0.910","0.972","0.810"
"75:48:42","0.909","0.971","0.811"
"75:48:43","0.909","0.971","0.810"
"75:48:44","0.910","0.970","0.811"
"75:48:45","0.908","0.969","0.810"
"75:48:46","0.910","0.969","0.810"
"75:48:47","0.909","0.968","0.809"
"75:48:48","0.909","0.968","0.811"
"75:48:49","0.909","0.969","0.809"
"75:48:50","0.909","0.966","0.810"
"75:48:51","0.908","0.969","0.809"
"75:48:52","0.910","0.968","0.810"
"75:48:53","0.908","0.968","0.809"
"75:48:54","0.909","0.968","0.809"
"75:48:55","0.908","0.968","0.808"
"75:48:56","0.908","0.965","0.809"
"75:48:57","0.908","0.966","0.808"
"75:48:58","0.908","0.965","0.808"
"75:48:59","0.907","0.967","0.809"
"75:49:00","0.908","0.967","0.808"
"75:49:01","0.907","0.967","0.809"
