,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
147:17:28,0,0,0.893,0.643,0.823
147:17:29,1,0.016666667,0.893,0.65,0.823
147:17:30,2,0.033333333,0.892,0.655,0.823
147:17:31,3,0.05,0.897,0.66,0.823
147:17:32,4,0.066666667,0.9,0.663,0.824
147:17:33,5,0.083333333,0.905,0.666,0.824
147:17:34,6,0.1,0.905,0.669,0.824
147:17:35,7,0.116666667,0.906,0.672,0.825
147:17:36,8,0.133333333,0.906,0.673,0.825
147:17:37,9,0.15,0.908,0.675,0.825
147:17:38,10,0.166666667,0.907,0.677,0.825
147:17:39,11,0.183333333,0.906,0.678,0.826
147:17:40,12,0.2,0.907,0.679,0.825
147:17:41,13,0.216666667,0.907,0.68,0.825
147:17:42,14,0.233333333,0.906,0.681,0.824
147:17:43,15,0.25,0.897,0.681,0.825
147:17:44,16,0.266666667,0.888,0.681,0.823
147:17:45,17,0.283333333,0.881,0.681,0.822
147:17:46,18,0.3,0.877,0.682,0.822
147:17:47,19,0.316666667,0.878,0.682,0.822
147:17:48,20,0.333333333,0.882,0.682,0.822
147:17:49,21,0.35,0.881,0.681,0.822
147:17:50,22,0.366666667,0.881,0.672,0.822
147:17:51,23,0.383333333,0.881,0.668,0.822
147:17:52,24,0.4,0.883,0.665,0.821
147:17:53,25,0.416666667,0.882,0.663,0.821
147:17:54,26,0.433333333,0.882,0.661,0.822
147:17:55,27,0.45,0.882,0.659,0.821
147:17:56,28,0.466666667,0.883,0.658,0.819
147:17:57,29,0.483333333,0.882,0.658,0.812
147:17:58,30,0.5,0.882,0.658,0.806
147:17:59,31,0.516666667,0.882,0.658,0.802
147:18:00,32,0.533333333,0.882,0.661,0.8
147:18:01,33,0.55,0.881,0.663,0.797
147:18:02,34,0.566666667,0.881,0.665,0.797
147:18:03,35,0.583333333,0.882,0.666,0.796
147:18:04,36,0.6,0.882,0.668,0.796
147:18:05,37,0.616666667,0.882,0.669,0.795
147:18:06,38,0.633333333,0.883,0.671,0.796
147:18:07,39,0.65,0.886,0.671,0.796
147:18:08,40,0.666666667,0.885,0.671,0.796
147:18:09,41,0.683333333,0.884,0.673,0.796
147:18:10,42,0.7,0.884,0.673,0.796
147:18:11,43,0.716666667,0.885,0.673,0.796
147:18:12,44,0.733333333,0.884,0.674,0.796
147:18:13,45,0.75,0.885,0.675,0.797
147:18:14,46,0.766666667,0.885,0.674,0.796
147:18:15,47,0.783333333,0.886,0.674,0.797
147:18:16,48,0.8,0.885,0.675,0.796
147:18:17,49,0.816666667,0.884,0.675,0.798
147:18:18,50,0.833333333,0.885,0.674,0.797
147:18:19,51,0.85,0.885,0.674,0.798
147:18:20,52,0.866666667,0.884,0.674,0.798
147:18:21,53,0.883333333,0.884,0.674,0.799
147:18:22,54,0.9,0.885,0.673,0.798
147:18:23,55,0.916666667,0.885,0.674,0.799
147:18:24,56,0.933333333,0.887,0.675,0.799
147:18:25,57,0.95,0.889,0.674,0.8
147:18:26,58,0.966666667,0.889,0.675,0.8
147:18:27,59,0.983333333,0.889,0.676,0.8
147:18:28,60,1,0.89,0.675,0.8
147:18:29,61,1.016666667,0.889,0.675,0.8
147:18:30,62,1.033333333,0.889,0.676,0.8
147:18:31,63,1.05,0.889,0.676,0.8
147:18:32,64,1.066666667,0.89,0.675,0.801
147:18:33,65,1.083333333,0.889,0.676,0.8
147:18:34,66,1.1,0.89,0.676,0.801
147:18:35,67,1.116666667,0.891,0.675,0.801
147:18:36,68,1.133333333,0.89,0.676,0.801
147:18:37,69,1.15,0.89,0.676,0.801
147:18:38,70,1.166666667,0.891,0.675,0.802
147:18:39,71,1.183333333,0.891,0.676,0.801
147:18:40,72,1.2,0.888,0.676,0.801
147:18:41,73,1.216666667,0.889,0.676,0.801
147:18:42,74,1.233333333,0.888,0.675,0.801
147:18:43,75,1.25,0.887,0.676,0.801
147:18:44,76,1.266666667,0.887,0.676,0.802
147:18:45,77,1.283333333,0.889,0.676,0.802
147:18:46,78,1.3,0.888,0.676,0.802
147:18:47,79,1.316666667,0.888,0.676,0.802
147:18:48,80,1.333333333,0.888,0.675,0.801
147:18:49,81,1.35,0.889,0.675,0.801
147:18:50,82,1.366666667,0.888,0.676,0.8
147:18:51,83,1.383333333,0.888,0.676,0.801
147:18:52,84,1.4,0.888,0.675,0.8
147:18:53,85,1.416666667,0.888,0.676,0.8
147:18:54,86,1.433333333,0.888,0.675,0.8
147:18:55,87,1.45,0.889,0.674,0.801
147:18:56,88,1.466666667,0.888,0.675,0.8
147:18:57,89,1.483333333,0.887,0.675,0.8
147:18:58,90,1.5,0.888,0.675,0.8
147:18:59,91,1.516666667,0.887,0.677,0.8
147:19:00,92,1.533333333,0.886,0.678,0.8
147:19:01,93,1.55,0.887,0.678,0.8
147:19:02,94,1.566666667,0.888,0.678,0.8
147:19:03,95,1.583333333,0.887,0.68,0.8
147:19:04,96,1.6,0.887,0.68,0.8
147:19:05,97,1.616666667,0.887,0.679,0.801
147:19:06,98,1.633333333,0.887,0.679,0.801
147:19:07,99,1.65,0.886,0.678,0.8
147:19:08,100,1.666666667,0.888,0.676,0.8
147:19:09,101,1.683333333,0.888,0.677,0.799
147:19:10,102,1.7,0.887,0.676,0.8
147:19:11,103,1.716666667,0.887,0.675,0.799
147:19:12,104,1.733333333,0.887,0.675,0.799
147:19:13,105,1.75,0.886,0.675,0.799
147:19:14,106,1.766666667,0.887,0.674,0.8
147:19:15,107,1.783333333,0.888,0.673,0.799
147:19:16,108,1.8,0.886,0.674,0.799
147:19:17,109,1.816666667,0.886,0.674,0.799
147:19:18,110,1.833333333,0.885,0.673,0.8
147:19:19,111,1.85,0.885,0.673,0.799
147:19:20,112,1.866666667,0.883,0.674,0.799
147:19:21,113,1.883333333,0.883,0.673,0.799
147:19:22,114,1.9,0.883,0.673,0.799
147:19:23,115,1.916666667,0.882,0.673,0.799
147:19:24,116,1.933333333,0.881,0.673,0.798
147:19:25,117,1.95,0.882,0.672,0.799
147:19:26,118,1.966666667,0.881,0.674,0.798
147:19:27,119,1.983333333,0.88,0.674,0.799
147:19:28,120,2,0.881,0.673,0.798
147:19:29,121,2.016666667,0.881,0.673,0.798
147:19:30,122,2.033333333,0.88,0.674,0.798
147:19:31,123,2.05,0.88,0.673,0.798
147:19:32,124,2.066666667,0.882,0.673,0.797
147:19:33,125,2.083333333,0.882,0.673,0.798
147:19:34,126,2.1,0.883,0.673,0.798
147:19:35,127,2.116666667,0.884,0.672,0.798
147:19:36,128,2.133333333,0.885,0.673,0.797
147:19:37,129,2.15,0.883,0.672,0.798
147:19:38,130,2.166666667,0.885,0.671,0.798
147:19:39,131,2.183333333,0.884,0.671,0.798
147:19:40,132,2.2,0.884,0.672,0.798
147:19:41,133,2.216666667,0.885,0.671,0.797
147:19:42,134,2.233333333,0.886,0.671,0.798
147:19:43,135,2.25,0.884,0.673,0.798
147:19:44,136,2.266666667,0.884,0.672,0.798
147:19:45,137,2.283333333,0.885,0.672,0.797
147:19:46,138,2.3,0.884,0.672,0.797
147:19:47,139,2.316666667,0.884,0.671,0.797
147:19:48,140,2.333333333,0.885,0.671,0.797
147:19:49,141,2.35,0.883,0.671,0.796
147:19:50,142,2.366666667,0.883,0.671,0.797
147:19:51,143,2.383333333,0.884,0.67,0.796
147:19:52,144,2.4,0.882,0.671,0.795
147:19:53,145,2.416666667,0.881,0.671,0.795
147:19:54,146,2.433333333,0.881,0.67,0.794
147:19:55,147,2.45,0.882,0.67,0.792
147:19:56,148,2.466666667,0.881,0.67,0.792
147:19:57,149,2.483333333,0.883,0.669,0.792
147:19:58,150,2.5,0.882,0.669,0.792
147:19:59,151,2.516666667,0.881,0.669,0.793
147:20:00,152,2.533333333,0.88,0.668,0.792
147:20:01,153,2.55,0.882,0.668,0.793
147:20:02,154,2.566666667,0.88,0.669,0.793
147:20:03,155,2.583333333,0.881,0.669,0.794
147:20:04,156,2.6,0.881,0.667,0.794
147:20:05,157,2.616666667,0.88,0.668,0.794
147:20:06,158,2.633333333,0.88,0.668,0.794
147:20:07,159,2.65,0.881,0.667,0.795
147:20:08,160,2.666666667,0.88,0.668,0.794
147:20:09,161,2.683333333,0.879,0.668,0.796
147:20:10,162,2.7,0.881,0.667,0.795
147:20:11,163,2.716666667,0.879,0.668,0.794
147:20:12,164,2.733333333,0.879,0.668,0.794
147:20:13,165,2.75,0.879,0.667,0.794
147:20:14,166,2.766666667,0.879,0.668,0.794
147:20:15,167,2.783333333,0.878,0.668,0.794
147:20:16,168,2.8,0.88,0.667,0.794
147:20:17,169,2.816666667,0.878,0.668,0.794
147:20:18,170,2.833333333,0.878,0.667,0.794
147:20:19,171,2.85,0.877,0.667,0.793
147:20:20,172,2.866666667,0.876,0.667,0.793
147:20:21,173,2.883333333,0.875,0.667,0.793
147:20:22,174,2.9,0.876,0.666,0.794
147:20:23,175,2.916666667,0.874,0.666,0.793
147:20:24,176,2.933333333,0.874,0.666,0.794
147:20:25,177,2.95,0.875,0.665,0.793
147:20:26,178,2.966666667,0.876,0.666,0.793
147:20:27,179,2.983333333,0.877,0.666,0.793
147:20:28,180,3,0.877,0.665,0.793
147:20:29,181,3.016666667,0.877,0.665,0.792
147:20:30,182,3.033333333,0.876,0.665,0.793
147:20:31,183,3.05,0.878,0.664,0.793
147:20:32,184,3.066666667,0.876,0.665,0.792
147:20:33,185,3.083333333,0.877,0.665,0.792
147:20:34,186,3.1,0.877,0.664,0.792
147:20:35,187,3.116666667,0.876,0.665,0.792
147:20:36,188,3.133333333,0.875,0.665,0.792
147:20:37,189,3.15,0.876,0.664,0.792
147:20:38,190,3.166666667,0.875,0.664,0.792
147:20:39,191,3.183333333,0.876,0.664,0.792
147:20:40,192,3.2,0.876,0.664,0.791
147:20:41,193,3.216666667,0.874,0.664,0.791
147:20:42,194,3.233333333,0.874,0.663,0.79
147:20:43,195,3.25,0.874,0.663,0.791
147:20:44,196,3.266666667,0.874,0.664,0.791
147:20:45,197,3.283333333,0.875,0.663,0.791
147:20:46,198,3.3,0.875,0.664,0.79
147:20:47,199,3.316666667,0.873,0.663,0.79
147:20:48,200,3.333333333,0.874,0.662,0.79
147:20:49,201,3.35,0.872,0.663,0.789
147:20:50,202,3.366666667,0.872,0.663,0.79
147:20:51,203,3.383333333,0.872,0.662,0.789
147:20:52,204,3.4,0.873,0.662,0.789
147:20:53,205,3.416666667,0.871,0.662,0.789
147:20:54,206,3.433333333,0.873,0.661,0.789
147:20:55,207,3.45,0.872,0.661,0.788
147:20:56,208,3.466666667,0.871,0.661,0.789
147:20:57,209,3.483333333,0.872,0.66,0.788
147:20:58,210,3.5,0.872,0.661,0.788
147:20:59,211,3.516666667,0.871,0.661,0.788
147:21:00,212,3.533333333,0.872,0.66,0.788
147:21:01,213,3.55,0.871,0.661,0.787
147:21:02,214,3.566666667,0.871,0.661,0.788
147:21:03,215,3.583333333,0.872,0.66,0.787
147:21:04,216,3.6,0.87,0.66,0.788
147:21:05,217,3.616666667,0.87,0.66,0.788
147:21:06,218,3.633333333,0.87,0.659,0.788
147:21:07,219,3.65,0.87,0.66,0.787
147:21:08,220,3.666666667,0.869,0.66,0.788
147:21:09,221,3.683333333,0.871,0.659,0.788
147:21:10,222,3.7,0.87,0.66,0.787
147:21:11,223,3.716666667,0.87,0.66,0.788
147:21:12,224,3.733333333,0.87,0.659,0.787
147:21:13,225,3.75,0.869,0.66,0.787
147:21:14,226,3.766666667,0.869,0.66,0.787
147:21:15,227,3.783333333,0.87,0.659,0.788
147:21:16,228,3.8,0.868,0.659,0.786
147:21:17,229,3.816666667,0.867,0.659,0.787
147:21:18,230,3.833333333,0.867,0.658,0.787
147:21:19,231,3.85,0.866,0.659,0.787
147:21:20,232,3.866666667,0.867,0.659,0.786
147:21:21,233,3.883333333,0.868,0.658,0.786
147:21:22,234,3.9,0.866,0.659,0.785
147:21:23,235,3.916666667,0.865,0.658,0.786
147:21:24,236,3.933333333,0.866,0.657,0.785
147:21:25,237,3.95,0.866,0.658,0.785
147:21:26,238,3.966666667,0.867,0.658,0.785
147:21:27,239,3.983333333,0.867,0.657,0.785
147:21:28,240,4,0.867,0.657,0.785
147:21:29,241,4.016666667,0.866,0.658,0.785
147:21:30,242,4.033333333,0.868,0.657,0.785
147:21:31,243,4.05,0.868,0.658,0.783
147:21:32,244,4.066666667,0.866,0.658,0.784
147:21:33,245,4.083333333,0.866,0.658,0.783
147:21:34,246,4.1,0.867,0.658,0.784
147:21:35,247,4.116666667,0.866,0.659,0.783
147:21:36,248,4.133333333,0.866,0.659,0.784
147:21:37,249,4.15,0.867,0.658,0.783
147:21:38,250,4.166666667,0.866,0.659,0.783
147:21:39,251,4.183333333,0.865,0.659,0.783
147:21:40,252,4.2,0.865,0.657,0.783
147:21:41,253,4.216666667,0.865,0.657,0.782
147:21:42,254,4.233333333,0.864,0.658,0.782
147:21:43,255,4.25,0.866,0.657,0.782
147:21:44,256,4.266666667,0.866,0.657,0.782
147:21:45,257,4.283333333,0.865,0.657,0.782
147:21:46,258,4.3,0.864,0.657,0.781
147:21:47,259,4.316666667,0.864,0.656,0.781
147:21:48,260,4.333333333,0.862,0.657,0.781
147:21:49,261,4.35,0.862,0.657,0.782
147:21:50,262,4.366666667,0.863,0.656,0.781
147:21:51,263,4.383333333,0.863,0.657,0.781
147:21:52,264,4.4,0.863,0.658,0.781
147:21:53,265,4.416666667,0.864,0.657,0.782
147:21:54,266,4.433333333,0.863,0.657,0.78
147:21:55,267,4.45,0.862,0.657,0.781
147:21:56,268,4.466666667,0.863,0.656,0.78
147:21:57,269,4.483333333,0.862,0.656,0.78
147:21:58,270,4.5,0.86,0.656,0.78
147:21:59,271,4.516666667,0.86,0.655,0.78
147:22:00,272,4.533333333,0.861,0.655,0.78
