,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
128:53:33,0,0,0.851,0.677,0.747
128:53:34,1,0.016666667,0.852,0.678,0.747
128:53:35,2,0.033333333,0.852,0.679,0.748
128:53:36,3,0.05,0.853,0.679,0.747
128:53:37,4,0.066666667,0.853,0.68,0.747
128:53:38,5,0.083333333,0.853,0.68,0.748
128:53:39,6,0.1,0.857,0.68,0.748
128:53:40,7,0.116666667,0.858,0.681,0.748
128:53:41,8,0.133333333,0.857,0.681,0.748
128:53:42,9,0.15,0.859,0.681,0.749
128:53:43,10,0.166666667,0.855,0.681,0.748
128:53:44,11,0.183333333,0.856,0.681,0.75
128:53:45,12,0.2,0.857,0.681,0.749
128:53:46,13,0.216666667,0.858,0.682,0.749
128:53:47,14,0.233333333,0.856,0.682,0.749
128:53:48,15,0.25,0.86,0.682,0.75
128:53:49,16,0.266666667,0.86,0.682,0.749
128:53:50,17,0.283333333,0.858,0.683,0.75
128:53:51,18,0.3,0.858,0.682,0.75
128:53:52,19,0.316666667,0.86,0.683,0.75
128:53:53,20,0.333333333,0.856,0.683,0.75
128:53:54,21,0.35,0.852,0.682,0.75
128:53:55,22,0.366666667,0.854,0.682,0.749
128:53:56,23,0.383333333,0.857,0.683,0.75
128:53:57,24,0.4,0.859,0.683,0.75
128:53:58,25,0.416666667,0.862,0.682,0.75
128:53:59,26,0.433333333,0.861,0.684,0.751
128:54:00,27,0.45,0.855,0.684,0.751
128:54:01,28,0.466666667,0.85,0.683,0.75
128:54:02,29,0.483333333,0.851,0.684,0.749
128:54:03,30,0.5,0.853,0.685,0.751
128:54:04,31,0.516666667,0.854,0.684,0.751
128:54:05,32,0.533333333,0.853,0.685,0.751
128:54:06,33,0.55,0.854,0.685,0.751
128:54:07,34,0.566666667,0.859,0.684,0.751
128:54:08,35,0.583333333,0.858,0.685,0.751
128:54:09,36,0.6,0.86,0.685,0.752
128:54:10,37,0.616666667,0.861,0.685,0.751
128:54:11,38,0.633333333,0.861,0.686,0.751
128:54:12,39,0.65,0.86,0.686,0.752
128:54:13,40,0.666666667,0.863,0.686,0.752
128:54:14,41,0.683333333,0.861,0.687,0.752
128:54:15,42,0.7,0.858,0.686,0.752
128:54:16,43,0.716666667,0.86,0.686,0.752
128:54:17,44,0.733333333,0.861,0.686,0.752
128:54:18,45,0.75,0.861,0.687,0.753
128:54:19,46,0.766666667,0.862,0.686,0.752
128:54:20,47,0.783333333,0.863,0.687,0.753
128:54:21,48,0.8,0.861,0.687,0.753
128:54:22,49,0.816666667,0.864,0.686,0.753
128:54:23,50,0.833333333,0.862,0.687,0.752
128:54:24,51,0.85,0.86,0.687,0.753
128:54:25,52,0.866666667,0.859,0.686,0.752
128:54:26,53,0.883333333,0.853,0.687,0.752
128:54:27,54,0.9,0.849,0.687,0.752
128:54:28,55,0.916666667,0.852,0.686,0.752
128:54:29,56,0.933333333,0.853,0.687,0.752
128:54:30,57,0.95,0.855,0.687,0.752
128:54:31,58,0.966666667,0.858,0.687,0.752
128:54:32,59,0.983333333,0.858,0.687,0.752
128:54:33,60,1,0.857,0.688,0.753
128:54:34,61,1.016666667,0.852,0.687,0.752
128:54:35,62,1.033333333,0.848,0.687,0.752
128:54:36,63,1.05,0.852,0.687,0.753
128:54:37,64,1.066666667,0.855,0.687,0.754
128:54:38,65,1.083333333,0.855,0.687,0.754
128:54:39,66,1.1,0.858,0.687,0.754
128:54:40,67,1.116666667,0.858,0.687,0.753
128:54:41,68,1.133333333,0.86,0.688,0.754
128:54:42,69,1.15,0.86,0.687,0.754
128:54:43,70,1.166666667,0.86,0.687,0.754
128:54:44,71,1.183333333,0.859,0.687,0.754
128:54:45,72,1.2,0.859,0.687,0.754
128:54:46,73,1.216666667,0.856,0.687,0.754
128:54:47,74,1.233333333,0.855,0.687,0.754
128:54:48,75,1.25,0.858,0.687,0.754
128:54:49,76,1.266666667,0.859,0.686,0.753
128:54:50,77,1.283333333,0.858,0.686,0.754
128:54:51,78,1.3,0.859,0.686,0.754
128:54:52,79,1.316666667,0.855,0.686,0.754
128:54:53,80,1.333333333,0.854,0.686,0.754
128:54:54,81,1.35,0.858,0.686,0.754
128:54:55,82,1.366666667,0.858,0.686,0.753
128:54:56,83,1.383333333,0.859,0.686,0.754
128:54:57,84,1.4,0.86,0.687,0.753
128:54:58,85,1.416666667,0.861,0.686,0.754
128:54:59,86,1.433333333,0.859,0.686,0.753
128:55:00,87,1.45,0.859,0.687,0.754
128:55:01,88,1.466666667,0.858,0.686,0.754
128:55:02,89,1.483333333,0.853,0.687,0.754
128:55:03,90,1.5,0.851,0.687,0.753
128:55:04,91,1.516666667,0.856,0.686,0.754
128:55:05,92,1.533333333,0.856,0.687,0.753
128:55:06,93,1.55,0.857,0.687,0.753
128:55:07,94,1.566666667,0.859,0.687,0.753
128:55:08,95,1.583333333,0.858,0.688,0.753
128:55:09,96,1.6,0.856,0.688,0.754
128:55:10,97,1.616666667,0.854,0.687,0.753
128:55:11,98,1.633333333,0.853,0.688,0.753
128:55:12,99,1.65,0.854,0.687,0.753
128:55:13,100,1.666666667,0.858,0.686,0.754
128:55:14,101,1.683333333,0.858,0.687,0.752
128:55:15,102,1.7,0.858,0.687,0.753
128:55:16,103,1.716666667,0.858,0.686,0.752
128:55:17,104,1.733333333,0.858,0.686,0.753
128:55:18,105,1.75,0.857,0.685,0.753
128:55:19,106,1.766666667,0.857,0.685,0.752
128:55:20,107,1.783333333,0.856,0.686,0.752
128:55:21,108,1.8,0.857,0.686,0.752
128:55:22,109,1.816666667,0.858,0.686,0.752
128:55:23,110,1.833333333,0.858,0.686,0.752
128:55:24,111,1.85,0.857,0.686,0.753
128:55:25,112,1.866666667,0.859,0.684,0.753
128:55:26,113,1.883333333,0.858,0.685,0.753
128:55:27,114,1.9,0.858,0.684,0.753
128:55:28,115,1.916666667,0.86,0.684,0.753
128:55:29,116,1.933333333,0.857,0.685,0.752
128:55:30,117,1.95,0.856,0.685,0.753
128:55:31,118,1.966666667,0.852,0.684,0.752
128:55:32,119,1.983333333,0.846,0.684,0.752
128:55:33,120,2,0.845,0.684,0.751
128:55:34,121,2.016666667,0.851,0.684,0.752
128:55:35,122,2.033333333,0.853,0.684,0.751
128:55:36,123,2.05,0.855,0.684,0.753
128:55:37,124,2.066666667,0.855,0.683,0.752
128:55:38,125,2.083333333,0.854,0.683,0.752
