Name,Document Name,Minimum,Maximum,Length,Direction,GO_function,Amino Acid Change,CDS,CDS Position,Variant Frequency,Change,Codon Change,Coverage,Polymorphism Type,Protein Effect,Variant P-Value (approximate),CDS Position Within Codon,GO_process,locus_tag,old_locus_tag,EC_number,gene,product,Reference Frequency,Reference Nucleotide(s),Variant Nucleotide(s),protein_id
type I restriction endonuclease subunit R CDS,mvR10_Howe,1,44343,2970,reverse,GO:0005524 - ATP binding [Evidence IEA]; GO:0016887 - ATP hydrolysis activity [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0004386 - helicase activity [Evidence IEA]; GO:0009035 - type I site-specific deoxyribonuclease activity [Evidence IEA],,,,,,,,,,,,,SGL_RS01125,sll8049,3.1.21.3,,type I restriction endonuclease subunit R,,,,WP_011153818.1
WD40 repeat domain-containing protein CDS,mvR10_Howe,32698,36411,3714,forward,GO:0005515 - protein binding [Evidence IEA],,,,,,,,,,,,,SGL_RS01315,slr8038,,,WD40 repeat domain-containing protein,,,,WP_011153809.1
alkaline phosphatase PhoX CDS,mvR10_Howe,25147,27345,2199,forward,,,,,,,,,,,,,,SGL_RS01275,slr8030,,,alkaline phosphatase PhoX,,,,WP_011153801.1
class I SAM-dependent DNA methyltransferase CDS,mvR10_Howe,6652,8619,1968,reverse,GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA],,,,,,,,,,,,,SGL_RS01170,sll8009,,,class I SAM-dependent DNA methyltransferase,,,,
hypothetical protein CDS,mvR10_Howe,39500,40969,1470,forward,,,,,,,,,,,,,,SGL_RS01335,slr8044,,,hypothetical protein,,,,WP_223211248.1
hypothetical protein CDS,mvR10_Howe,13695,15104,1410,reverse,,,,,,,,,,,,,,SGL_RS01220,sll8018,,,hypothetical protein,,,,WP_223211249.1
restriction endonuclease subunit S CDS,mvR10_Howe,4652,6046,1395,reverse,GO:0003677 - DNA binding [Evidence IEA],,,,,,,,,,,,GO:0006304 - DNA modification [Evidence IEA],SGL_RS01155,sll8006,3.1.21.-,,restriction endonuclease subunit S,,,,WP_011153777.1
carboxylesterase family protein CDS,mvR10_Howe,19938,21278,1341,forward,,,,,,,,,,,,,,SGL_RS01245,slr8023,,,carboxylesterase family protein,,,,WP_011153794.1
hypothetical protein CDS,mvR10_Howe,15590,16915,1326,reverse,,,,,,,,,,,,,,SGL_RS01225,sll8019,,,hypothetical protein,,,,WP_223211250.1
GNAT family N-acetyltransferase CDS,mvR10_Howe,31402,32598,1197,forward,"GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups [Evidence IEA]; GO:0008080 - N-acetyltransferase activity [Evidence IEA]",,,,,,,,,,,,,SGL_RS20230,,2.3.1.-,,GNAT family N-acetyltransferase,,,,WP_199303656.1
IS630 family transposase CDS,mvR10_Howe,38568,39415,848,reverse,GO:0004803 - transposase activity [Evidence IEA],,,,,,,,,,,,,SGL_RS18570,,,,IS630 family transposase,,,,
IS630 family transposase CDS,mvR10_Howe,41056,41903,848,forward,GO:0004803 - transposase activity [Evidence IEA],,,,,,,,,,,,,SGL_RS18575,,,,IS630 family transposase,,,,
nitronate monooxygenase CDS,mvR10_Howe,29006,30040,1035,reverse,"GO:0010181 - FMN binding [Evidence IEA]; GO:0016703 - oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases) [Evidence IEA]",,,,,,,,,,,,,SGL_RS01295,sll8034,1.13.12.-,,nitronate monooxygenase,,,,WP_011153805.1
macro domain-containing protein CDS,mvR10_Howe,1920,2966,1047,reverse,,,,,,,,,,,,,,SGL_RS01130,sll8001,,,macro domain-containing protein,,,,WP_011153772.1
ParB/RepB/Spo0J family partition protein CDS,mvR10_Howe,10998,11867,870,forward,,,,,,,,,,,,,,SGL_RS01205,slr8016,,,ParB/RepB/Spo0J family partition protein,,,,WP_011153787.1
