"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"189:35:06","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:07","0.32","0.32","0.32","0.32","0.27","0.27","0.27","0.27","0.72","0.72","0.72","0.72"
"189:35:08","0.32","0.32","0.32","0.32","0.27","0.27","0.27","0.27","0.76","0.76","0.76","0.76"
"189:35:09","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:35:10","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:11","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:12","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:13","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:14","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:35:15","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:16","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:35:17","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:18","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:35:19","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:20","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:21","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:22","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:23","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:35:24","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:25","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.72","0.72","0.72","0.72"
"189:35:26","0.31","0.31","0.31","0.31","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:27","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:35:28","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:29","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:35:30","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:35:31","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:32","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.70","0.70","0.70","0.70"
"189:35:33","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:34","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.72","0.72","0.72","0.72"
"189:35:35","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:36","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:35:37","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:38","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:39","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.75","0.75","0.75","0.75"
"189:35:40","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.74","0.74","0.74","0.74"
"189:35:41","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.69","0.69","0.69","0.69"
"189:35:42","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:43","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:35:44","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:45","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:35:46","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
"189:35:47","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.71","0.71","0.71","0.71"
"189:35:48","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.76","0.76","0.76","0.76"
"189:35:49","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.73","0.73","0.73","0.73"
"189:35:50","0.32","0.32","0.32","0.32","0.26","0.26","0.26","0.26","0.68","0.68","0.68","0.68"
