,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
196:10:55,0,0,,0.267,0.337
196:10:56,1,0.016666667,,0.266,0.337
196:10:57,2,0.033333333,,0.267,0.336
196:10:58,3,0.05,,0.268,0.336
196:10:59,4,0.066666667,,0.267,0.336
196:11:00,5,0.083333333,,0.268,0.335
196:11:01,6,0.1,,0.268,0.335
196:11:02,7,0.116666667,,0.267,0.334
196:11:03,8,0.133333333,,0.268,0.333
196:11:04,9,0.15,,0.268,0.333
196:11:05,10,0.166666667,,0.267,0.333
196:11:06,11,0.183333333,,0.267,0.331
196:11:07,12,0.2,,0.267,0.331
196:11:08,13,0.216666667,,0.266,0.33
196:11:09,14,0.233333333,,0.267,0.331
196:11:10,15,0.25,,0.267,0.33
196:11:11,16,0.266666667,,0.266,0.33
196:11:12,17,0.283333333,,0.267,0.329
196:11:13,18,0.3,,0.267,0.329
196:11:14,19,0.316666667,,0.267,0.329
196:11:15,20,0.333333333,,0.268,0.328
196:11:16,21,0.35,,0.268,0.329
196:11:17,22,0.366666667,,0.267,0.329
196:11:18,23,0.383333333,,0.268,0.329
196:11:19,24,0.4,,0.268,0.329
196:11:20,25,0.416666667,,0.267,0.33
196:11:21,26,0.433333333,,0.268,0.33
196:11:22,27,0.45,,0.268,0.332
196:11:23,28,0.466666667,,0.267,0.332
196:11:24,29,0.483333333,,0.267,0.333
196:11:25,30,0.5,,0.268,0.333
196:11:26,31,0.516666667,,0.267,0.334
196:11:27,32,0.533333333,,0.267,0.332
196:11:28,33,0.55,,0.268,0.333
196:11:29,34,0.566666667,,0.267,0.332
196:11:30,35,0.583333333,,0.266,0.332
196:11:31,36,0.6,,0.267,0.33
196:11:32,37,0.616666667,,0.267,0.33
196:11:33,38,0.633333333,,0.266,0.328
196:11:34,39,0.65,,0.267,0.328
196:11:35,40,0.666666667,,0.267,0.328
196:11:36,41,0.683333333,,0.266,0.327
196:11:37,42,0.7,,0.266,0.326
196:11:38,43,0.716666667,,0.266,0.325
196:11:39,44,0.733333333,,0.265,0.324
196:11:40,45,0.75,,0.266,0.323
196:11:41,46,0.766666667,,0.266,0.324
196:11:42,47,0.783333333,,0.265,0.322
196:11:43,48,0.8,,0.266,0.322
196:11:44,49,0.816666667,,0.266,0.322
196:11:45,50,0.833333333,,0.265,0.322
196:11:46,51,0.85,,0.266,0.321
196:11:47,52,0.866666667,,0.266,0.322
196:11:48,53,0.883333333,,0.265,0.321
196:11:49,54,0.9,,0.265,0.322
196:11:50,55,0.916666667,,0.266,0.322
196:11:51,56,0.933333333,,0.265,0.323
196:11:52,57,0.95,,0.265,0.323
196:11:53,58,0.966666667,,0.265,0.323
196:11:54,59,0.983333333,,0.265,0.324
196:11:55,60,1,,0.264,0.325
196:11:56,61,1.016666667,,0.264,0.326
196:11:57,62,1.033333333,,0.264,0.326
196:11:58,63,1.05,,0.263,0.327
196:11:59,64,1.066666667,,0.263,0.326
196:12:00,65,1.083333333,,0.264,0.327
196:12:01,66,1.1,,0.263,0.326
196:12:02,67,1.116666667,,0.263,0.325
196:12:03,68,1.133333333,,0.265,0.324
196:12:04,69,1.15,,0.264,0.324
196:12:05,70,1.166666667,,0.264,0.322
196:12:06,71,1.183333333,,0.265,0.322
196:12:07,72,1.2,,0.264,0.321
196:12:08,73,1.216666667,,0.264,0.32
196:12:09,74,1.233333333,,0.265,0.32
196:12:10,75,1.25,,0.265,0.319
196:12:11,76,1.266666667,,0.264,0.318
196:12:12,77,1.283333333,,0.264,0.317
196:12:13,78,1.3,,0.264,0.317
196:12:14,79,1.316666667,,0.263,0.316
196:12:15,80,1.333333333,,0.264,0.316
196:12:16,81,1.35,,0.264,0.315
196:12:17,82,1.366666667,,0.263,0.316
196:12:18,83,1.383333333,,0.263,0.314
196:12:19,84,1.4,,0.264,0.315
196:12:20,85,1.416666667,,0.264,0.315
196:12:21,86,1.433333333,,0.263,0.314
196:12:22,87,1.45,,0.263,0.314
196:12:23,88,1.466666667,,0.263,0.314
196:12:24,89,1.483333333,,0.262,0.314
196:12:25,90,1.5,,0.262,0.315
196:12:26,91,1.516666667,,0.263,0.315
196:12:27,92,1.533333333,,0.262,0.316
196:12:28,93,1.55,,0.262,0.316
196:12:29,94,1.566666667,,0.263,0.316
196:12:30,95,1.583333333,,0.262,0.316
196:12:31,96,1.6,,0.262,0.316
196:12:32,97,1.616666667,,0.263,0.317
196:12:33,98,1.633333333,,0.262,0.318
196:12:34,99,1.65,,0.262,0.319
196:12:35,100,1.666666667,,0.262,0.318
196:12:36,101,1.683333333,,0.263,0.319
196:12:37,102,1.7,,0.262,0.319
196:12:38,103,1.716666667,,0.262,0.319
196:12:39,104,1.733333333,,0.263,0.318
196:12:40,105,1.75,,0.263,0.317
196:12:41,106,1.766666667,,0.262,0.316
196:12:42,107,1.783333333,,0.262,0.316
196:12:43,108,1.8,,0.262,0.316
196:12:44,109,1.816666667,,0.262,0.315
196:12:45,110,1.833333333,,0.261,0.313
196:12:46,111,1.85,,0.262,0.313
196:12:47,112,1.866666667,,0.261,0.313
196:12:48,113,1.883333333,,0.261,0.312
196:12:49,114,1.9,,0.261,0.312
196:12:50,115,1.916666667,,0.261,0.312
196:12:51,116,1.933333333,,0.261,0.312
196:12:52,117,1.95,,0.261,0.311
196:12:53,118,1.966666667,,0.262,0.311
196:12:54,119,1.983333333,,0.261,0.311
196:12:55,120,2,,0.261,0.311
196:12:56,121,2.016666667,,0.261,0.31
196:12:57,122,2.033333333,,0.261,0.311
196:12:58,123,2.05,,0.26,0.31
196:12:59,124,2.066666667,,0.26,0.31
196:13:00,125,2.083333333,,0.261,0.31
196:13:01,126,2.1,,0.26,0.31
196:13:02,127,2.116666667,,0.26,0.309
196:13:03,128,2.133333333,,0.26,0.31
196:13:04,129,2.15,,0.261,0.311
196:13:05,130,2.166666667,,0.26,0.311
196:13:06,131,2.183333333,,0.261,0.312
196:13:07,132,2.2,,0.261,0.313
196:13:08,133,2.216666667,,0.26,0.314
196:13:09,134,2.233333333,,0.26,0.314
196:13:10,135,2.25,,0.261,0.314
196:13:11,136,2.266666667,,0.26,0.314
196:13:12,137,2.283333333,,0.26,0.313
196:13:13,138,2.3,,0.261,0.312
196:13:14,139,2.316666667,,0.261,0.312
196:13:15,140,2.333333333,,0.26,0.311
196:13:16,141,2.35,,0.26,0.31
196:13:17,142,2.366666667,,0.261,0.31
196:13:18,143,2.383333333,,0.26,0.309
196:13:19,144,2.4,,0.26,0.308
196:13:20,145,2.416666667,,0.261,0.308
196:13:21,146,2.433333333,,0.261,0.308
196:13:22,147,2.45,,0.26,0.307
196:13:23,148,2.466666667,,0.261,0.307
196:13:24,149,2.483333333,,0.261,0.306
196:13:25,150,2.5,,0.26,0.307
196:13:26,151,2.516666667,,0.26,0.305
196:13:27,152,2.533333333,,0.26,0.305
196:13:28,153,2.55,,0.26,0.305
196:13:29,154,2.566666667,,0.26,0.305
196:13:30,155,2.583333333,,0.26,0.304
196:13:31,156,2.6,,0.26,0.306
196:13:32,157,2.616666667,,0.259,0.305
196:13:33,158,2.633333333,,0.26,0.305
196:13:34,159,2.65,,0.259,0.304
196:13:35,160,2.666666667,,0.259,0.306
196:13:36,161,2.683333333,,0.259,0.305
196:13:37,162,2.7,,0.261,0.306
196:13:38,163,2.716666667,,0.26,0.307
196:13:39,164,2.733333333,,0.26,0.307
196:13:40,165,2.75,,0.261,0.308
196:13:41,166,2.766666667,,0.26,0.309
196:13:42,167,2.783333333,,0.259,0.31
196:13:43,168,2.8,,0.26,0.31
196:13:44,169,2.816666667,,0.261,0.311
196:13:45,170,2.833333333,,0.26,0.311
196:13:46,171,2.85,,0.26,0.311
196:13:47,172,2.866666667,,0.261,0.31
196:13:48,173,2.883333333,,0.259,0.311
196:13:49,174,2.9,,0.26,0.31
196:13:50,175,2.916666667,,0.261,0.31
196:13:51,176,2.933333333,,0.26,0.309
196:13:52,177,2.95,,0.26,0.309
196:13:53,178,2.966666667,,0.26,0.307
196:13:54,179,2.983333333,,0.26,0.307
196:13:55,180,3,,0.258,0.306
196:13:56,181,3.016666667,,0.259,0.305
196:13:57,182,3.033333333,,0.259,0.305
