Name,tag,Length,product,locus_tag
sds CDS,SGL_RS01875,972,solanesyl diphosphate synthase,slr0611
SwmB domain-containing protein CDS,SGL_RS12090,12600,SwmB domain-containing protein,slr0408
SwmB domain-containing protein CDS,SGL_RS04910,11919,SwmB domain-containing protein,slr1028
Ig-like domain-containing protein CDS,SGL_RS19945,9090,Ig-like domain-containing protein,
Calx-beta domain-containing protein CDS,SGL_RS20135,9051,Calx-beta domain-containing protein,
translocation/assembly module TamB domain-containing protein CDS,SGL_RS07125,5937,translocation/assembly module TamB domain-containing protein,sll1265
cadherin domain-containing protein CDS,SGL_RS04640,5898,cadherin domain-containing protein,slr2046
ExeM/NucH family extracellular endonuclease CDS,SGL_RS03825,5640,ExeM/NucH family extracellular endonuclease,sll0656
DUF4114 domain-containing protein CDS,SGL_RS17765,5316,DUF4114 domain-containing protein,sll0723
DUF4114 domain-containing protein CDS,SGL_RS19950,5310,DUF4114 domain-containing protein,
translocation/assembly module TamB domain-containing protein CDS,SGL_RS08890,5250,translocation/assembly module TamB domain-containing protein,sll1586
CHAT domain-containing protein CDS,SGL_RS04325,5214,CHAT domain-containing protein,slr1753
bluetail domain-containing putative surface protein CDS,SGL_RS08565,5187,bluetail domain-containing putative surface protein,sll1951
hypothetical protein CDS,SGL_RS12775,5082,hypothetical protein,sll0163
EAL domain-containing protein CDS,SGL_RS11860,4737,EAL domain-containing protein,sll0267
gltB CDS,SGL_RS17380,4671,glutamate synthase large subunit,sll1499
gltB CDS,SGL_RS04160,4653,glutamate synthase large subunit,sll1502
response regulator CDS,SGL_RS04345,4362,response regulator,slr1759
choice-of-anchor I family protein CDS,SGL_RS03830,4230,choice-of-anchor I family protein,sll0654
Hpt domain-containing protein CDS,SGL_RS16475,4209,Hpt domain-containing protein,sll0043
PAS domain S-box protein CDS,SGL_RS05945,4116,PAS domain S-box protein,sll1124
magnesium chelatase subunit H CDS,SGL_RS04275,3996,magnesium chelatase subunit H,slr1055
NACHT domain-containing NTPase CDS,SGL_RS14735,3960,NACHT domain-containing NTPase,sll0178
DNA-directed RNA polymerase subunit beta'' CDS,SGL_RS05925,3954,DNA-directed RNA polymerase subunit beta'',sll1789
leukotoxin CDS,SGL_RS17780,3858,leukotoxin,sll0721
diguanylate cyclase CDS,SGL_RS15220,3831,diguanylate cyclase,sll0821
response regulator CDS,SGL_RS09190,3786,response regulator,slr2098
hydantoinase B/oxoprolinase family protein CDS,SGL_RS16205,3759,hydantoinase B/oxoprolinase family protein,slr0697
NACHT domain-containing protein CDS,SGL_RS13845,3720,NACHT domain-containing protein,sll0068
EAL domain-containing protein CDS,SGL_RS12855,3612,EAL domain-containing protein,slr0359
smc CDS,SGL_RS05960,3603,chromosome segregation protein SMC,sll1120
mfd CDS,SGL_RS14485,3600,transcription-repair coupling factor,sll0377
nifJ CDS,SGL_RS16420,3600,pyruvate:ferredoxin (flavodoxin) oxidoreductase,sll0741
metH CDS,SGL_RS14710,3588,methionine synthase,slr0212
AAA-like domain-containing protein CDS,SGL_RS12100,3576,AAA-like domain-containing protein,slr0143
PAS domain S-box protein CDS,SGL_RS13585,3537,PAS domain S-box protein,slr0222
glycosyltransferase CDS,SGL_RS11605,3507,glycosyltransferase,sll1527
DEAD/DEAH box helicase CDS,SGL_RS05205,3357,DEAD/DEAH box helicase,sll1582
dnaX CDS,SGL_RS06875,3351,DNA polymerase III subunit gamma/tau,sll1360
rpoB CDS,SGL_RS05930,3309,DNA-directed RNA polymerase subunit beta,sll1787
