,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
50:44:00,0,0,0.111,0.017,0.012
50:44:01,1,0.016666667,0.129,0.018,0.013
50:44:02,2,0.033333333,0.144,0.02,0.014
50:44:03,3,0.05,0.157,0.027,0.015
50:44:04,4,0.066666667,0.169,0.053,0.017
50:44:05,5,0.083333333,0.181,0.073,0.02
50:44:06,6,0.1,0.19,0.086,0.02
50:44:07,7,0.116666667,0.201,0.096,0.03
50:44:08,8,0.133333333,0.21,0.106,0.044
50:44:09,9,0.15,0.218,0.112,0.057
50:44:10,10,0.166666667,0.225,0.122,0.07
50:44:11,11,0.183333333,0.232,0.127,0.089
50:44:12,12,0.2,0.239,0.135,0.109
50:44:13,13,0.216666667,0.246,0.141,0.136
50:44:14,14,0.233333333,0.254,0.151,0.213
50:44:15,15,0.25,0.263,0.161,0.282
50:44:16,16,0.266666667,0.271,0.215,0.346
50:44:17,17,0.283333333,0.282,0.265,0.392
50:44:18,18,0.3,0.293,0.281,0.436
50:44:19,19,0.316666667,0.324,0.287,0.466
50:44:20,20,0.333333333,0.413,0.292,0.502
50:44:21,21,0.35,0.485,0.296,0.527
50:44:22,22,0.366666667,0.558,0.298,0.558
50:44:23,23,0.383333333,0.623,0.302,0.578
50:44:24,24,0.4,0.684,0.305,0.603
50:44:25,25,0.416666667,0.728,0.308,0.617
50:44:26,26,0.433333333,0.765,0.309,0.634
50:44:27,27,0.45,0.789,0.311,0.644
50:44:28,28,0.466666667,0.81,0.31,0.656
50:44:29,29,0.483333333,0.824,0.311,0.665
50:44:30,30,0.5,0.835,0.312,0.672
50:44:31,31,0.516666667,0.842,0.314,0.678
50:44:32,32,0.533333333,0.844,0.314,0.683
50:44:33,33,0.55,0.856,0.315,0.689
50:44:34,34,0.566666667,0.861,0.332,0.693
50:44:35,35,0.583333333,0.865,0.451,0.703
50:44:36,36,0.6,0.875,0.557,0.715
50:44:37,37,0.616666667,0.884,0.649,0.704
50:44:38,38,0.633333333,0.89,0.707,0.704
50:44:39,39,0.65,0.896,0.754,0.709
50:44:40,40,0.666666667,0.9,0.781,0.709
50:44:41,41,0.683333333,0.903,0.803,0.711
50:44:42,42,0.7,0.906,0.821,0.711
50:44:43,43,0.716666667,0.909,0.836,0.713
50:44:44,44,0.733333333,0.909,0.848,0.713
50:44:45,45,0.75,0.908,0.857,0.715
50:44:46,46,0.766666667,0.911,0.866,0.715
50:44:47,47,0.783333333,0.909,0.873,0.718
50:44:48,48,0.8,0.904,0.878,0.719
50:44:49,49,0.816666667,0.898,0.883,0.72
50:44:50,50,0.833333333,0.894,0.887,0.721
50:44:51,51,0.85,0.893,0.903,0.723
50:44:52,52,0.866666667,0.891,0.904,0.724
50:44:53,53,0.883333333,0.89,0.902,0.725
50:44:54,54,0.9,0.888,0.901,0.726
50:44:55,55,0.916666667,0.889,0.903,0.729
50:44:56,56,0.933333333,0.89,0.905,0.736
50:44:57,57,0.95,0.891,0.908,0.737
50:44:58,58,0.966666667,0.891,0.908,0.737
50:44:59,59,0.983333333,0.89,0.909,0.735
50:45:00,60,1,0.891,0.911,0.74
50:45:01,61,1.016666667,0.892,0.911,0.746
50:45:02,62,1.033333333,0.893,0.907,0.743
50:45:03,63,1.05,0.894,0.907,0.741
50:45:04,64,1.066666667,0.894,0.909,0.74
50:45:05,65,1.083333333,0.894,0.917,0.739
50:45:06,66,1.1,0.895,0.918,0.739
50:45:07,67,1.116666667,0.895,0.917,0.738
50:45:08,68,1.133333333,0.896,0.912,0.736
50:45:09,69,1.15,0.901,0.908,0.736
50:45:10,70,1.166666667,0.907,0.906,0.736
50:45:11,71,1.183333333,0.903,0.901,0.736
50:45:12,72,1.2,0.899,0.9,0.735
50:45:13,73,1.216666667,0.895,0.903,0.735
50:45:14,74,1.233333333,0.891,0.904,0.734
50:45:15,75,1.25,0.888,0.899,0.734
50:45:16,76,1.266666667,0.885,0.891,0.733
50:45:17,77,1.283333333,0.884,0.882,0.775
50:45:18,78,1.3,0.882,0.88,0.747
50:45:19,79,1.316666667,0.88,0.875,0.733
50:45:20,80,1.333333333,0.884,0.877,0.731
50:45:21,81,1.35,0.881,0.878,0.73
50:45:22,82,1.366666667,0.878,0.88,0.727
50:45:23,83,1.383333333,0.879,0.883,0.727
50:45:24,84,1.4,0.878,0.885,0.712
50:45:25,85,1.416666667,0.877,0.887,0.716
50:45:26,86,1.433333333,0.876,0.884,0.721
50:45:27,87,1.45,0.876,0.895,0.724
50:45:28,88,1.466666667,0.868,0.894,0.724
50:45:29,89,1.483333333,0.869,0.892,0.725
50:45:30,90,1.5,0.872,0.89,0.726
50:45:31,91,1.516666667,0.872,0.891,0.726
50:45:32,92,1.533333333,0.872,0.891,0.729
50:45:33,93,1.55,0.874,0.893,0.729
50:45:34,94,1.566666667,0.877,0.894,0.744
50:45:35,95,1.583333333,0.878,0.896,0.749
50:45:36,96,1.6,0.881,0.897,0.752
50:45:37,97,1.616666667,0.882,0.897,0.75
50:45:38,98,1.633333333,0.883,0.897,0.749
50:45:39,99,1.65,0.884,0.899,0.751
50:45:40,100,1.666666667,0.887,0.899,0.755
50:45:41,101,1.683333333,0.889,0.9,0.757
50:45:42,102,1.7,0.891,0.902,0.759
50:45:43,103,1.716666667,0.893,0.907,0.757
50:45:44,104,1.733333333,0.894,0.907,0.755
50:45:45,105,1.75,0.895,0.904,0.754
50:45:46,106,1.766666667,0.897,0.905,0.752
50:45:47,107,1.783333333,0.899,0.909,0.753
50:45:48,108,1.8,0.902,0.911,0.753
50:45:49,109,1.816666667,0.904,0.913,0.754
50:45:50,110,1.833333333,0.906,0.906,0.753
50:45:51,111,1.85,0.906,0.9,0.753
50:45:52,112,1.866666667,0.907,0.897,0.752
50:45:53,113,1.883333333,0.909,0.892,0.752
50:45:54,114,1.9,0.912,0.89,0.751
50:45:55,115,1.916666667,0.92,0.888,0.752
50:45:56,116,1.933333333,0.92,0.887,0.751
50:45:57,117,1.95,0.919,0.892,0.751
50:45:58,118,1.966666667,0.918,0.9,0.751
50:45:59,119,1.983333333,0.92,0.922,0.753
50:46:00,120,2,0.97,0.937,0.755
50:46:01,121,2.016666667,0.934,0.945,0.756
50:46:02,122,2.033333333,0.925,0.947,0.757
50:46:03,123,2.05,0.929,0.953,0.814
50:46:04,124,2.066666667,0.929,0.954,0.787
50:46:05,125,2.083333333,0.93,0.955,0.768
50:46:06,126,2.1,0.93,0.955,0.773
50:46:07,127,2.116666667,0.941,0.958,0.779
50:46:08,128,2.133333333,0.935,0.958,0.783
50:46:09,129,2.15,0.939,0.959,0.785
50:46:10,130,2.166666667,0.944,0.959,0.804
50:46:11,131,2.183333333,0.947,0.962,0.793
50:46:12,132,2.2,0.949,0.961,0.789
50:46:13,133,2.216666667,0.957,0.962,0.788
50:46:14,134,2.233333333,0.953,0.963,0.79
50:46:15,135,2.25,0.952,0.962,0.79
50:46:16,136,2.266666667,0.952,0.962,0.79
50:46:17,137,2.283333333,0.951,0.962,0.791
