,,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
75:44:13,0,0,0.936,0.993,0.831
75:44:14,1,0.016666667,0.937,0.992,0.83
75:44:15,2,0.033333333,0.935,0.992,0.832
75:44:16,3,0.05,0.936,0.991,0.83
75:44:17,4,0.066666667,0.935,0.992,0.831
75:44:18,5,0.083333333,0.936,0.993,0.83
75:44:19,6,0.1,0.936,0.991,0.831
75:44:20,7,0.116666667,0.935,0.991,0.83
75:44:21,8,0.133333333,0.937,0.99,0.83
75:44:22,9,0.15,0.935,0.991,0.83
75:44:23,10,0.166666667,0.937,0.994,0.831
75:44:24,11,0.183333333,0.935,0.994,0.83
75:44:25,12,0.2,0.937,0.995,0.832
75:44:26,13,0.216666667,0.936,0.995,0.831
75:44:27,14,0.233333333,0.936,0.994,0.831
75:44:28,15,0.25,0.936,0.995,0.83
75:44:29,16,0.266666667,0.935,0.991,0.831
75:44:30,17,0.283333333,0.936,0.994,0.83
75:44:31,18,0.3,0.935,0.992,0.831
75:44:32,19,0.316666667,0.935,0.994,0.831
75:44:33,20,0.333333333,0.936,0.993,0.83
75:44:34,21,0.35,0.935,0.993,0.831
75:44:35,22,0.366666667,0.935,0.993,0.83
75:44:36,23,0.383333333,0.935,0.993,0.831
75:44:37,24,0.4,0.935,0.995,0.83
75:44:38,25,0.416666667,0.935,0.993,0.831
75:44:39,26,0.433333333,0.934,0.994,0.83
75:44:40,27,0.45,0.935,0.996,0.83
75:44:41,28,0.466666667,0.933,0.994,0.829
75:44:42,29,0.483333333,0.934,0.994,0.83
75:44:43,30,0.5,0.933,0.994,0.829
75:44:44,31,0.516666667,0.933,0.993,0.831
75:44:45,32,0.533333333,0.933,0.995,0.829
75:44:46,33,0.55,0.932,0.992,0.83
75:44:47,34,0.566666667,0.932,0.993,0.83
75:44:48,35,0.583333333,0.933,0.993,0.829
75:44:49,36,0.6,0.932,0.993,0.831
75:44:50,37,0.616666667,0.933,0.993,0.83
75:44:51,38,0.633333333,0.932,0.992,0.83
75:44:52,39,0.65,0.933,0.993,0.829
75:44:53,40,0.666666667,0.933,0.991,0.83
75:44:54,41,0.683333333,0.931,0.992,0.829
75:44:55,42,0.7,0.933,0.993,0.83
75:44:56,43,0.716666667,0.931,0.99,0.828
75:44:57,44,0.733333333,0.931,0.989,0.83
75:44:58,45,0.75,0.931,0.989,0.827
75:44:59,46,0.766666667,0.931,0.989,0.829
75:45:00,47,0.783333333,0.931,0.99,0.828
75:45:01,48,0.8,0.931,0.988,0.829
75:45:02,49,0.816666667,0.93,0.988,0.828
75:45:03,50,0.833333333,0.931,0.987,0.828
75:45:04,51,0.85,0.93,0.988,0.828
75:45:05,52,0.866666667,0.931,0.987,0.828
75:45:06,53,0.883333333,0.93,0.986,0.828
75:45:07,54,0.9,0.929,0.986,0.828
75:45:08,55,0.916666667,0.93,0.988,0.828
75:45:09,56,0.933333333,0.928,0.987,0.827
75:45:10,57,0.95,0.929,0.988,0.828
75:45:11,58,0.966666667,0.929,0.987,0.826
75:45:12,59,0.983333333,0.929,0.987,0.828
75:45:13,60,1,0.929,0.987,0.827
75:45:14,61,1.016666667,0.929,0.984,0.828
75:45:15,62,1.033333333,0.928,0.985,0.826
75:45:16,63,1.05,0.929,0.985,0.827
