"","Oxy Electrode 1 Last (V)","OxyElectrode 2 Last (V)","OxyElectrode 3 Last (V)"
"54:04:50","0.033","0.333","0.179"
"54:04:51","0.032","0.332","0.180"
"54:04:52","0.033","0.333","0.178"
"54:04:53","0.032","0.331","0.179"
"54:04:54","0.032","0.331","0.179"
"54:04:55","0.033","0.332","0.178"
"54:04:56","0.032","0.330","0.178"
"54:04:57","0.033","0.331","0.178"
"54:04:58","0.033","0.330","0.178"
"54:04:59","0.032","0.330","0.178"
"54:05:00","0.032","0.332","0.178"
"54:05:01","0.033","0.331","0.178"
"54:05:02","0.032","0.330","0.178"
"54:05:03","0.033","0.332","0.177"
"54:05:04","0.032","0.330","0.178"
"54:05:05","0.032","0.331","0.177"
"54:05:06","0.033","0.331","0.178"
"54:05:07","0.032","0.330","0.177"
"54:05:08","0.032","0.330","0.178"
"54:05:09","0.033","0.329","0.176"
"54:05:10","0.032","0.329","0.177"
"54:05:11","0.032","0.330","0.177"
"54:05:12","0.033","0.330","0.177"
"54:05:13","0.032","0.329","0.176"
"54:05:14","0.033","0.330","0.176"
"54:05:15","0.032","0.328","0.176"
"54:05:16","0.032","0.329","0.176"
"54:05:17","0.033","0.329","0.176"
"54:05:18","0.032","0.329","0.176"
"54:05:19","0.032","0.329","0.177"
"54:05:20","0.033","0.330","0.175"
"54:05:21","0.032","0.328","0.176"
"54:05:22","0.032","0.329","0.175"
"54:05:23","0.032","0.328","0.176"
"54:05:24","0.032","0.327","0.175"
"54:05:25","0.032","0.328","0.176"
"54:05:26","0.032","0.328","0.174"
"54:05:27","0.032","0.327","0.175"
"54:05:28","0.033","0.328","0.174"
"54:05:29","0.032","0.326","0.175"
"54:05:30","0.032","0.327","0.175"
"54:05:31","0.033","0.327","0.174"
"54:05:32","0.031","0.325","0.174"
"54:05:33","0.032","0.328","0.174"
"54:05:34","0.033","0.326","0.174"
"54:05:35","0.032","0.327","0.174"
"54:05:36","0.032","0.327","0.174"
"54:05:37","0.032","0.326","0.174"
"54:05:38","0.031","0.325","0.175"
"54:05:39","0.033","0.325","0.173"
"54:05:40","0.031","0.323","0.174"
"54:05:41","0.032","0.325","0.173"
"54:05:42","0.032","0.324","0.174"
"54:05:43","0.031","0.323","0.173"
"54:05:44","0.032","0.325","0.173"
"54:05:45","0.032","0.324","0.172"
"54:05:46","0.032","0.324","0.173"
"54:05:47","0.032","0.324","0.172"
"54:05:48","0.032","0.323","0.173"
"54:05:49","0.031","0.323","0.173"
"54:05:50","0.033","0.325","0.172"
"54:05:51","0.031","0.322","0.172"
"54:05:52","0.032","0.324","0.172"
"54:05:53","0.032","0.324","0.172"
"54:05:54","0.032","0.323","0.172"
"54:05:55","0.031","0.323","0.173"
"54:05:56","0.032","0.325","0.171"
"54:05:57","0.031","0.323","0.172"
"54:05:58","0.032","0.325","0.172"
"54:05:59","0.032","0.324","0.172"
"54:06:00","0.032","0.324","0.172"
"54:06:01","0.031","0.324","0.172"
"54:06:02","0.032","0.324","0.171"
"54:06:03","0.031","0.322","0.172"
"54:06:04","0.031","0.323","0.171"
"54:06:05","0.032","0.324","0.171"
"54:06:06","0.031","0.322","0.171"
"54:06:07","0.032","0.323","0.171"
"54:06:08","0.032","0.323","0.170"
"54:06:09","0.032","0.322","0.171"
"54:06:10","0.031","0.322","0.171"
"54:06:11","0.032","0.323","0.170"
"54:06:12","0.031","0.321","0.171"
"54:06:13","0.031","0.323","0.170"
"54:06:14","0.032","0.323","0.170"
"54:06:15","0.032","0.322","0.170"
"54:06:16","0.031","0.322","0.171"
"54:06:17","0.032","0.323","0.170"
"54:06:18","0.031","0.321","0.170"
"54:06:19","0.031","0.322","0.170"
"54:06:20","0.032","0.322","0.170"
"54:06:21","0.031","0.321","0.169"
"54:06:22","0.031","0.321","0.170"
"54:06:23","0.032","0.322","0.169"
"54:06:24","0.032","0.320","0.169"
"54:06:25","0.031","0.320","0.169"
"54:06:26","0.032","0.322","0.169"
"54:06:27","0.031","0.320","0.168"
"54:06:28","0.031","0.321","0.169"
"54:06:29","0.031","0.321","0.168"
"54:06:30","0.032","0.321","0.168"
"54:06:31","0.031","0.319","0.169"
"54:06:32","0.032","0.321","0.168"
"54:06:33","0.032","0.319","0.169"
"54:06:34","0.031","0.319","0.168"
"54:06:35","0.031","0.319","0.169"
"54:06:36","0.032","0.319","0.167"
"54:06:37","0.031","0.319","0.169"
"54:06:38","0.031","0.320","0.168"
"54:06:39","0.032","0.320","0.168"
"54:06:40","0.031","0.318","0.167"
"54:06:41","0.031","0.320","0.168"
"54:06:42","0.032","0.319","0.167"
"54:06:43","0.031","0.318","0.167"
"54:06:44","0.031","0.318","0.167"
"54:06:45","0.032","0.319","0.166"
"54:06:46","0.031","0.317","0.167"
"54:06:47","0.031","0.318","0.166"
"54:06:48","0.032","0.317","0.166"
"54:06:49","0.031","0.318","0.166"
"54:06:50","0.030","0.316","0.167"
"54:06:51","0.031","0.319","0.166"
"54:06:52","0.031","0.317","0.167"
"54:06:53","0.031","0.317","0.166"
"54:06:54","0.031","0.317","0.167"
"54:06:55","0.031","0.317","0.165"
"54:06:56","0.030","0.316","0.167"
"54:06:57","0.031","0.318","0.166"
"54:06:58","0.032","0.317","0.166"
"54:06:59","0.031","0.316","0.165"
"54:07:00","0.031","0.317","0.166"
"54:07:01","0.032","0.317","0.165"
"54:07:02","0.031","0.316","0.165"
"54:07:03","0.030","0.316","0.166"
"54:07:04","0.032","0.317","0.165"
"54:07:05","0.031","0.315","0.165"
"54:07:06","0.031","0.317","0.165"
"54:07:07","0.031","0.317","0.165"
"54:07:08","0.031","0.316","0.164"
"54:07:09","0.030","0.315","0.165"
"54:07:10","0.031","0.316","0.164"
"54:07:11","0.031","0.315","0.165"
"54:07:12","0.030","0.314","0.164"
"54:07:13","0.031","0.315","0.165"
"54:07:14","0.031","0.314","0.163"
"54:07:15","0.030","0.314","0.164"
"54:07:16","0.031","0.315","0.163"
"54:07:17","0.032","0.315","0.164"
"54:07:18","0.030","0.314","0.164"
"54:07:19","0.031","0.316","0.163"
"54:07:20","0.031","0.315","0.163"
"54:07:21","0.031","0.314","0.163"
"54:07:22","0.030","0.315","0.163"
"54:07:23","0.032","0.315","0.162"
"54:07:24","0.030","0.314","0.163"
"54:07:25","0.031","0.315","0.162"
"54:07:26","0.031","0.314","0.163"
"54:07:27","0.030","0.313","0.162"
"54:07:28","0.030","0.314","0.163"
"54:07:29","0.031","0.314","0.161"
"54:07:30","0.030","0.313","0.163"
"54:07:31","0.031","0.313","0.162"
"54:07:32","0.031","0.312","0.162"
"54:07:33","0.030","0.312","0.161"
"54:07:34","0.031","0.313","0.162"
"54:07:35","0.030","0.311","0.161"
"54:07:36","0.030","0.312","0.162"
"54:07:37","0.031","0.312","0.161"
"54:07:38","0.031","0.312","0.162"
"54:07:39","0.030","0.312","0.162"
"54:07:40","0.031","0.313","0.161"
"54:07:41","0.030","0.310","0.161"
"54:07:42","0.030","0.312","0.161"
"54:07:43","0.031","0.312","0.161"
"54:07:44","0.030","0.311","0.160"
"54:07:45","0.030","0.311","0.161"
"54:07:46","0.031","0.311","0.159"
"54:07:47","0.030","0.310","0.161"
"54:07:48","0.030","0.311","0.160"
"54:07:49","0.031","0.311","0.160"
"54:07:50","0.030","0.310","0.160"
"54:07:51","0.031","0.312","0.160"
"54:07:52","0.030","0.310","0.160"
"54:07:53","0.030","0.310","0.160"
"54:07:54","0.031","0.310","0.159"
"54:07:55","0.030","0.310","0.160"
"54:07:56","0.030","0.309","0.160"
"54:07:57","0.031","0.310","0.159"
"54:07:58","0.030","0.308","0.160"
"54:07:59","0.031","0.310","0.159"
"54:08:00","0.030","0.308","0.159"
"54:08:01","0.030","0.309","0.159"
"54:08:02","0.030","0.309","0.159"
"54:08:03","0.030","0.309","0.158"
"54:08:04","0.030","0.308","0.159"
"54:08:05","0.031","0.309","0.158"
"54:08:06","0.030","0.308","0.159"
"54:08:07","0.030","0.309","0.158"
"54:08:08","0.031","0.308","0.158"
"54:08:09","0.030","0.307","0.158"
"54:08:10","0.031","0.309","0.158"
"54:08:11","0.030","0.307","0.157"
"54:08:12","0.030","0.308","0.158"
"54:08:13","0.031","0.308","0.157"
"54:08:14","0.030","0.308","0.157"
"54:08:15","0.030","0.308","0.158"
"54:08:16","0.031","0.308","0.157"
"54:08:17","0.030","0.306","0.158"
"54:08:18","0.030","0.308","0.157"
"54:08:19","0.030","0.307","0.157"
"54:08:20","0.030","0.307","0.157"
"54:08:21","0.030","0.307","0.158"
"54:08:22","0.030","0.307","0.156"
"54:08:23","0.029","0.306","0.157"
"54:08:24","0.031","0.307","0.156"
"54:08:25","0.030","0.306","0.157"
"54:08:26","0.030","0.306","0.156"
"54:08:27","0.031","0.306","0.156"
"54:08:28","0.030","0.304","0.156"
"54:08:29","0.030","0.306","0.156"
"54:08:30","0.030","0.305","0.155"
"54:08:31","0.030","0.305","0.156"
"54:08:32","0.030","0.305","0.156"
"54:08:33","0.031","0.305","0.155"
"54:08:34","0.029","0.303","0.156"
"54:08:35","0.030","0.306","0.155"
"54:08:36","0.029","0.303","0.156"
"54:08:37","0.030","0.304","0.155"
"54:08:38","0.030","0.304","0.155"
"54:08:39","0.030","0.303","0.155"
"54:08:40","0.029","0.303","0.155"
"54:08:41","0.031","0.304","0.154"
"54:08:42","0.029","0.302","0.155"
"54:08:43","0.030","0.304","0.154"
"54:08:44","0.030","0.303","0.154"
"54:08:45","0.029","0.302","0.154"
"54:08:46","0.030","0.304","0.154"
