,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
71:09:51,0,0,0.875,0.897,0.793
71:09:52,1,0.016666667,0.874,0.903,0.798
71:09:53,2,0.033333333,0.869,0.907,0.802
71:09:54,3,0.05,0.869,0.911,0.806
71:09:55,4,0.066666667,0.867,0.914,0.809
71:09:56,5,0.083333333,0.867,0.917,0.813
71:09:57,6,0.1,0.868,0.918,0.814
71:09:58,7,0.116666667,0.869,0.918,0.818
71:09:59,8,0.133333333,0.87,0.92,0.819
71:10:00,9,0.15,0.872,0.92,0.821
71:10:01,10,0.166666667,0.873,0.921,0.823
71:10:02,11,0.183333333,0.874,0.924,0.824
71:10:03,12,0.2,0.877,0.926,0.826
71:10:04,13,0.216666667,0.876,0.926,0.825
71:10:05,14,0.233333333,0.879,0.928,0.821
71:10:06,15,0.25,0.879,0.927,0.816
71:10:07,16,0.266666667,0.879,0.929,0.811
71:10:08,17,0.283333333,0.88,0.93,0.804
71:10:09,18,0.3,0.881,0.933,0.801
71:10:10,19,0.316666667,0.88,0.936,0.799
71:10:11,20,0.333333333,0.883,0.938,0.798
71:10:12,21,0.35,0.883,0.936,0.796
71:10:13,22,0.366666667,0.89,0.938,0.797
71:10:14,23,0.383333333,0.892,0.938,0.795
71:10:15,24,0.4,0.887,0.938,0.796
71:10:16,25,0.416666667,0.885,0.939,0.794
71:10:17,26,0.433333333,0.884,0.938,0.795
71:10:18,27,0.45,0.881,0.938,0.795
71:10:19,28,0.466666667,0.882,0.939,0.795
71:10:20,29,0.483333333,0.882,0.939,0.795
71:10:21,30,0.5,0.88,0.939,0.796
71:10:22,31,0.516666667,0.882,0.94,0.795
71:10:23,32,0.533333333,0.88,0.939,0.795
71:10:24,33,0.55,0.881,0.941,0.797
71:10:25,34,0.566666667,0.882,0.94,0.795
71:10:26,35,0.583333333,0.881,0.941,0.797
71:10:27,36,0.6,0.882,0.941,0.796
71:10:28,37,0.616666667,0.883,0.942,0.797
71:10:29,38,0.633333333,0.882,0.941,0.797
71:10:30,39,0.65,0.883,0.942,0.798
71:10:31,40,0.666666667,0.882,0.94,0.797
71:10:32,41,0.683333333,0.883,0.941,0.799
71:10:33,42,0.7,0.884,0.942,0.797
71:10:34,43,0.716666667,0.883,0.942,0.798
71:10:35,44,0.733333333,0.884,0.943,0.797
71:10:36,45,0.75,0.884,0.942,0.792
71:10:37,46,0.766666667,0.883,0.942,0.79
71:10:38,47,0.783333333,0.884,0.943,0.789
71:10:39,48,0.8,0.884,0.94,0.789
71:10:40,49,0.816666667,0.883,0.931,0.788
71:10:41,50,0.833333333,0.884,0.928,0.788
71:10:42,51,0.85,0.882,0.926,0.788
71:10:43,52,0.866666667,0.868,0.928,0.789
