"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"184:43:16","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
"184:43:17","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.35","0.35","0.35","0.35"
"184:43:18","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:19","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.35","0.35","0.35","0.35"
"184:43:20","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:21","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
"184:43:22","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:23","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:24","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34","0.04","0.04","0.04","0.04"
"184:43:25","0.46","0.46","0.46","0.46","0.35","0.35","0.35","0.35","0.04","0.04","0.04","0.04"
"184:43:26","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36","0.04","0.04","0.04","0.04"
"184:43:27","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37","0.04","0.04","0.04","0.04"
"184:43:28","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36","0.04","0.04","0.04","0.04"
"184:43:29","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:30","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:31","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:32","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
"184:43:33","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:34","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:35","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:36","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:37","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
"184:43:38","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:39","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.35","0.35","0.35","0.35"
"184:43:40","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:41","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34"
"184:43:42","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:43","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.37","0.37","0.37","0.37"
"184:43:44","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:43:45","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:46","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:47","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.35","0.35","0.35","0.35"
"184:43:48","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
"184:43:49","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.36","0.36","0.36","0.36"
"184:43:50","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.35","0.35","0.35","0.35"
"184:43:51","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:52","0.04","0.04","0.04","0.04","0.45","0.45","0.45","0.45","0.34","0.34","0.34","0.34"
"184:43:53","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.36","0.36","0.36","0.36"
"184:43:54","0.04","0.04","0.04","0.04","0.46","0.46","0.46","0.46","0.37","0.37","0.37","0.37"
