"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"162:45:41","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:42","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:43","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:44","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:45","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:46","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:47","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:48","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:49","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:50","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:51","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:52","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:53","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:54","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:55","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:56","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:57","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:58","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:45:59","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:00","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:01","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:02","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:03","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:04","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:05","0.34","0.34","0.34","0.34","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"162:46:06","0.33","0.33","0.33","0.33","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
