Position,Coverage,Identity
1,110.00,0.27
2,161.00,0.25
3,161.00,0.00
4,161.00,0.00
5,161.00,0.00
6,161.00,0.00
7,161.00,0.00
8,161.00,0.00
9,161.00,0.00
10,161.00,0.00
11,161.00,0.00
12,161.00,0.00
13,161.00,0.00
14,161.00,0.00
15,161.00,0.00
16,161.00,0.00
17,161.00,0.00
18,169.00,0.34
19,169.00,0.02
20,169.00,0.02
21,169.00,0.02
22,169.00,0.02
23,169.00,0.02
24,169.00,0.02
25,169.00,0.04
26,169.00,0.03
27,169.00,0.03
28,169.00,0.03
29,169.00,0.03
30,169.00,0.04
31,169.00,0.04
32,169.00,0.05
33,169.00,0.05
34,169.00,0.05
35,169.00,0.07
36,169.00,0.13
37,169.00,0.13
38,175.00,0.32
39,175.00,0.01
40,175.00,0.03
41,175.00,0.04
42,175.00,0.04
43,175.00,0.04
44,175.00,0.04
45,175.00,0.08
46,175.00,0.08
47,175.00,0.13
48,175.00,0.13
49,175.00,0.13
50,175.00,0.13
51,175.00,0.16
52,175.00,0.19
53,175.00,0.19
54,175.00,0.25
55,175.00,0.26
56,175.00,0.26
57,175.00,0.26
58,175.00,0.30
59,175.00,0.30
60,175.00,0.30
61,175.00,0.30
62,176.00,0.71
63,176.00,0.01
64,176.00,0.01
65,176.00,0.01
66,176.00,0.01
67,176.00,0.01
68,176.00,0.01
69,176.00,0.01
70,176.00,0.05
71,176.00,0.05
72,176.00,0.08
73,176.00,0.08
74,176.00,0.08
75,176.00,0.08
76,176.00,0.08
77,176.00,0.08
78,176.00,0.08
79,176.00,0.09
80,176.00,0.09
81,176.00,0.09
82,176.00,0.08
83,176.00,0.09
84,176.00,0.09
85,184.00,0.99
86,196.00,1.00
87,214.00,1.00
88,219.00,1.00
89,227.00,1.00
90,231.00,1.00
91,234.00,1.00
92,236.00,0.99
93,240.00,1.00
94,244.00,0.98
95,252.00,1.00
96,261.00,1.00
97,265.00,1.00
98,271.00,1.00
99,279.00,1.00
100,291.00,0.99
101,292.00,0.99
102,300.00,0.95
103,308.00,1.00
104,325.00,0.99
105,339.00,1.00
106,344.00,1.00
107,353.00,1.00
108,357.00,0.99
109,363.00,1.00
110,380.00,0.99
111,389.00,1.00
112,397.00,1.00
113,411.00,1.00
114,419.00,1.00
115,433.00,0.99
116,436.00,0.99
117,443.00,0.99
118,453.00,0.99
119,458.00,1.00
120,467.00,1.00
121,471.00,1.00
122,477.00,1.00
123,479.00,1.00
124,487.00,1.00
125,497.00,0.99
126,497.00,0.00
127,497.00,0.00
128,497.00,0.00
129,497.00,0.00
130,497.00,0.00
131,497.00,0.00
132,497.00,0.00
133,497.00,0.00
134,503.00,1.00
135,506.00,1.00
136,519.00,1.00
137,532.00,0.99
138,539.00,0.99
139,547.00,1.00
140,547.00,0.00
141,554.00,0.99
142,563.00,1.00
143,573.00,1.00
144,579.00,1.00
145,584.00,1.00
146,590.00,1.00
147,600.00,1.00
148,611.00,1.00
149,616.00,1.00
150,626.00,1.00
151,640.00,1.00
152,649.00,0.99
153,659.00,1.00
154,666.00,1.00
155,673.00,1.00
156,678.00,0.99
157,683.00,0.99
158,688.00,1.00
159,700.00,0.99
160,713.00,1.00
161,720.00,1.00
162,725.00,1.00
163,728.00,1.00
164,748.00,1.00
165,750.00,0.99
166,754.00,0.99
167,761.00,1.00
168,766.00,1.00
169,772.00,1.00
170,780.00,0.99
171,788.00,1.00
172,801.00,1.00
173,813.00,1.00
174,823.00,0.99
175,837.00,1.00
176,855.00,0.99
177,863.00,1.00
178,869.00,1.00
179,881.00,1.00
180,892.00,1.00
181,902.00,1.00
182,911.00,1.00
183,918.00,1.00
184,924.00,1.00
185,933.00,0.99
186,941.00,0.99
187,951.00,1.00
188,957.00,1.00
189,982.00,1.00
190,986.00,1.00
191,993.00,1.00
192,996.00,1.00
193,1001.00,0.99
194,1016.00,1.00
195,1024.00,1.00
196,1036.00,1.00
197,1048.00,0.99
198,1054.00,0.99
199,1061.00,1.00
200,1067.00,1.00
201,1073.00,1.00
202,1082.00,0.99
203,1089.00,1.00
204,1098.00,1.00
205,1102.00,1.00
206,1109.00,1.00
207,1118.00,1.00
208,1122.00,0.99
209,1127.00,0.99
210,1138.00,0.99
211,1145.00,1.00
212,1156.00,0.99
213,1164.00,1.00
214,1171.00,0.99
215,1179.00,0.99
216,1178.00,0.99
217,1180.00,1.00
218,1182.00,1.00
219,1202.00,1.00
220,1209.00,1.00
221,1209.00,1.00
222,1217.00,1.00
223,1223.00,1.00
224,1219.00,0.99
225,1217.00,0.99
226,1220.00,1.00
227,1223.00,0.99
228,1223.00,1.00
229,1221.00,1.00
230,1225.00,1.00
231,1223.00,0.99
232,1226.00,1.00
233,1241.00,0.98
234,1260.00,1.00
235,1258.00,0.95
236,1286.00,0.96
237,1276.00,0.00
238,1276.00,0.00
239,1276.00,0.00
240,1276.00,0.00
241,1285.00,0.95
242,1301.00,0.99
243,1297.00,0.00
244,1297.00,0.00
245,1297.00,0.00
246,1297.00,0.00
247,1297.00,0.01
248,1297.00,0.01
249,1297.00,0.01
250,1313.00,0.98
251,1307.00,0.00
252,1307.00,0.00
253,1307.00,0.00
254,1307.00,0.00
255,1307.00,0.00
256,1307.00,0.00
257,1307.00,0.00
258,1307.00,0.00
259,1307.00,0.00
260,1307.00,0.00
261,1307.00,0.00
262,1324.00,0.92
263,1317.00,0.00
264,1317.00,0.00
265,1317.00,0.00
266,1317.00,0.00
267,1317.00,0.00
268,1317.00,0.00
269,1317.00,0.00
270,1317.00,0.00
271,1317.00,0.00
272,1317.00,0.00
273,1317.00,0.00
274,1317.00,0.00
275,1317.00,0.00
276,1317.00,0.01
277,1354.00,0.97
278,1372.00,0.95
279,1398.00,0.94
280,1390.00,0.03
281,1390.00,0.03
282,1404.00,0.96
283,1394.00,0.00
284,1394.00,0.00
285,1394.00,0.00
286,1394.00,0.00
287,1394.00,0.00
288,1394.00,0.00
289,1394.00,0.00
290,1394.00,0.00
291,1394.00,0.00
292,1394.00,0.00
293,1394.00,0.00
294,1394.00,0.00
295,1394.00,0.00
296,1394.00,0.01
297,1413.00,0.98
298,1395.00,0.00
299,1395.00,0.01
300,1395.00,0.01
301,1395.00,0.01
302,1395.00,0.01
303,1395.00,0.01
304,1395.00,0.01
305,1395.00,0.01
306,1413.00,0.96
307,1407.00,0.00
308,1407.00,0.00
309,1407.00,0.00
310,1407.00,0.00
311,1407.00,0.00
312,1407.00,0.00
313,1407.00,0.00
314,1407.00,0.00
315,1407.00,0.00
316,1407.00,0.00
317,1407.00,0.00
318,1417.00,0.99
319,1423.00,0.81
320,1419.00,0.00
321,1419.00,0.00
322,1419.00,0.00
323,1419.00,0.00
324,1419.00,0.00
325,1419.00,0.00
326,1419.00,0.01
327,1419.00,0.01
328,1419.00,0.01
329,1419.00,0.01
330,1419.00,0.01
331,1435.00,0.82
332,1432.00,0.00
333,1432.00,0.00
334,1432.00,0.00
335,1432.00,0.00
336,1432.00,0.00
337,1432.00,0.00
338,1432.00,0.00
339,1432.00,0.00
340,1448.00,0.83
341,1466.00,0.93
342,1462.00,0.00
343,1462.00,0.00
344,1462.00,0.00
345,1462.00,0.00
346,1462.00,0.00
347,1488.00,1.00
348,1501.00,0.99
349,1511.00,1.00
350,1521.00,1.00
351,1530.00,0.99
352,1539.00,1.00
353,1547.00,1.00
354,1551.00,1.00
355,1559.00,1.00
356,1561.00,0.99
357,1570.00,1.00
358,1571.00,1.00
359,1578.00,1.00
360,1582.00,1.00
361,1579.00,0.99
362,1601.00,1.00
363,1619.00,0.99
364,1619.00,1.00
365,1620.00,1.00
366,1621.00,1.00
367,1615.00,1.00
368,1617.00,1.00
369,1612.00,0.98
370,1623.00,1.00
371,1638.00,1.00
372,1642.00,0.99
373,1669.00,0.99
374,1683.00,1.00
375,1686.00,0.99
376,1695.00,0.99
377,1715.00,1.00
378,1719.00,0.99
379,1729.00,1.00
380,1738.00,1.00
381,1748.00,1.00
382,1757.00,1.00
383,1755.00,0.99
384,1773.00,1.00
385,1784.00,0.99
386,1792.00,1.00
387,1798.00,1.00
388,1819.00,1.00
389,1831.00,1.00
390,1828.00,0.00
391,1833.00,0.99
392,1841.00,1.00
393,1853.00,0.99
394,1856.00,1.00
395,1869.00,1.00
396,1871.00,1.00
397,1877.00,1.00
398,1889.00,1.00
399,1915.00,0.99
400,1916.00,0.99
401,1921.00,1.00
402,1939.00,1.00
403,1952.00,1.00
404,1958.00,0.99
405,1964.00,1.00
406,1979.00,0.99
407,1994.00,1.00
408,2012.00,1.00
409,2028.00,1.00
410,2029.00,1.00
411,2036.00,0.99
412,2044.00,1.00
413,2046.00,1.00
414,2057.00,1.00
415,2073.00,1.00
416,2084.00,1.00
417,2083.00,1.00
418,2091.00,0.99
419,2108.00,0.99
420,2116.00,1.00
421,2113.00,1.00
422,2118.00,1.00
423,2122.00,0.99
