,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
00:34:50,0,0,0.599,1.173,0.613
00:34:51,1,0.016666667,0.599,1.173,0.613
00:34:52,2,0.033333333,0.599,1.174,0.612
00:34:53,3,0.05,0.599,1.172,0.613
00:34:54,4,0.066666667,0.598,1.173,0.613
00:34:55,5,0.083333333,0.599,1.173,0.612
00:34:56,6,0.1,0.599,1.172,0.613
00:34:57,7,0.116666667,0.598,1.172,0.613
00:34:58,8,0.133333333,0.599,1.173,0.613
00:34:59,9,0.15,0.599,1.171,0.612
00:35:00,10,0.166666667,0.597,1.171,0.613
00:35:01,11,0.183333333,0.599,1.171,0.611
00:35:02,12,0.2,0.598,1.171,0.612
00:35:03,13,0.216666667,0.598,1.17,0.612
00:35:04,14,0.233333333,0.598,1.171,0.612
00:35:05,15,0.25,0.598,1.17,0.611
00:35:06,16,0.266666667,0.597,1.169,0.613
00:35:07,17,0.283333333,0.597,1.17,0.611
00:35:08,18,0.3,0.598,1.17,0.611
00:35:09,19,0.316666667,0.597,1.169,0.611
00:35:10,20,0.333333333,0.597,1.169,0.611
00:35:11,21,0.35,0.598,1.17,0.611
00:35:12,22,0.366666667,0.598,1.168,0.611
00:35:13,23,0.383333333,0.596,1.169,0.611
00:35:14,24,0.4,0.597,1.169,0.61
00:35:15,25,0.416666667,0.597,1.169,0.611
00:35:16,26,0.433333333,0.597,1.167,0.61
00:35:17,27,0.45,0.596,1.169,0.611
00:35:18,28,0.466666667,0.597,1.168,0.61
00:35:19,29,0.483333333,0.596,1.167,0.611
00:35:20,30,0.5,0.596,1.167,0.61
00:35:21,31,0.516666667,0.596,1.168,0.611
00:35:22,32,0.533333333,0.597,1.167,0.609
00:35:23,33,0.55,0.595,1.166,0.61
00:35:24,34,0.566666667,0.596,1.167,0.609
00:35:25,35,0.583333333,0.596,1.166,0.609
00:35:26,36,0.6,0.595,1.166,0.609
00:35:27,37,0.616666667,0.596,1.167,0.609
00:35:28,38,0.633333333,0.596,1.167,0.609
00:35:29,39,0.65,0.595,1.165,0.61
00:35:30,40,0.666666667,0.595,1.166,0.609
00:35:31,41,0.683333333,0.596,1.166,0.609
00:35:32,42,0.7,0.595,1.165,0.609
00:35:33,43,0.716666667,0.595,1.164,0.609
00:35:34,44,0.733333333,0.595,1.166,0.609
00:35:35,45,0.75,0.596,1.164,0.608
00:35:36,46,0.766666667,0.594,1.164,0.609
00:35:37,47,0.783333333,0.595,1.165,0.608
00:35:38,48,0.8,0.595,1.165,0.609
00:35:39,49,0.816666667,0.595,1.163,0.607
00:35:40,50,0.833333333,0.594,1.164,0.609
00:35:41,51,0.85,0.595,1.164,0.607
00:35:42,52,0.866666667,0.594,1.163,0.608
00:35:43,53,0.883333333,0.594,1.163,0.608
00:35:44,54,0.9,0.594,1.164,0.608
00:35:45,55,0.916666667,0.595,1.163,0.607
00:35:46,56,0.933333333,0.594,1.162,0.608
00:35:47,57,0.95,0.593,1.163,0.607
00:35:48,58,0.966666667,0.594,1.163,0.607
00:35:49,59,0.983333333,0.594,1.162,0.607
00:35:50,60,1,0.593,1.161,0.607
00:35:51,61,1.016666667,0.594,1.163,0.607
00:35:52,62,1.033333333,0.594,1.161,0.607
