,Seconds ,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
79:05:07,0,0,0.42,0.592,0.436
79:05:08,1,0.016666667,0.419,0.594,0.436
79:05:09,2,0.033333333,0.42,0.593,0.436
79:05:10,3,0.05,0.419,0.594,0.435
79:05:11,4,0.066666667,0.419,0.592,0.436
79:05:12,5,0.083333333,0.418,0.594,0.436
79:05:13,6,0.1,0.42,0.594,0.436
79:05:14,7,0.116666667,0.419,0.595,0.436
79:05:15,8,0.133333333,0.42,0.593,0.435
79:05:16,9,0.15,0.418,0.592,0.436
79:05:17,10,0.166666667,0.419,0.593,0.435
79:05:18,11,0.183333333,0.419,0.594,0.436
79:05:19,12,0.2,0.419,0.593,0.434
79:05:20,13,0.216666667,0.418,0.592,0.436
79:05:21,14,0.233333333,0.418,0.593,0.435
79:05:22,15,0.25,0.418,0.594,0.436
79:05:23,16,0.266666667,0.419,0.594,0.435
79:05:24,17,0.283333333,0.418,0.591,0.435
79:05:25,18,0.3,0.418,0.592,0.434
79:05:26,19,0.316666667,0.418,0.592,0.435
79:05:27,20,0.333333333,0.419,0.593,0.434
79:05:28,21,0.35,0.419,0.592,0.435
79:05:29,22,0.366666667,0.417,0.592,0.434
79:05:30,23,0.383333333,0.418,0.592,0.435
79:05:31,24,0.4,0.417,0.593,0.434
79:05:32,25,0.416666667,0.419,0.592,0.434
79:05:33,26,0.433333333,0.417,0.591,0.434
79:05:34,27,0.45,0.417,0.59,0.434
79:05:35,28,0.466666667,0.417,0.592,0.435
79:05:36,29,0.483333333,0.418,0.592,0.434
79:05:37,30,0.5,0.418,0.591,0.434
79:05:38,31,0.516666667,0.417,0.591,0.434
79:05:39,32,0.533333333,0.417,0.591,0.435
79:05:40,33,0.55,0.418,0.593,0.434
79:05:41,34,0.566666667,0.418,0.591,0.434
79:05:42,35,0.583333333,0.416,0.592,0.433
79:05:43,36,0.6,0.417,0.591,0.434
79:05:44,37,0.616666667,0.418,0.593,0.433
79:05:45,38,0.633333333,0.418,0.591,0.434
79:05:46,39,0.65,0.416,0.591,0.433
79:05:47,40,0.666666667,0.416,0.591,0.434
79:05:48,41,0.683333333,0.417,0.592,0.434
79:05:49,42,0.7,0.417,0.591,0.433
79:05:50,43,0.716666667,0.416,0.59,0.434
79:05:51,44,0.733333333,0.416,0.59,0.434
79:05:52,45,0.75,0.417,0.592,0.434
79:05:53,46,0.766666667,0.417,0.591,0.433
79:05:54,47,0.783333333,0.416,0.59,0.434
79:05:55,48,0.8,0.416,0.591,0.433
79:05:56,49,0.816666667,0.416,0.591,0.434
79:05:57,50,0.833333333,0.417,0.591,0.432
79:05:58,51,0.85,0.416,0.59,0.434
79:05:59,52,0.866666667,0.416,0.59,0.433
79:06:00,53,0.883333333,0.416,0.591,0.433
79:06:01,54,0.9,0.417,0.591,0.432
79:06:02,55,0.916666667,0.416,0.589,0.433
79:06:03,56,0.933333333,0.415,0.59,0.433
79:06:04,57,0.95,0.416,0.59,0.432
79:06:05,58,0.966666667,0.416,0.59,0.433
79:06:06,59,0.983333333,0.416,0.589,0.432
79:06:07,60,1,0.415,0.589,0.433
79:06:08,61,1.016666667,0.416,0.59,0.432
79:06:09,62,1.033333333,0.415,0.589,0.432
79:06:10,63,1.05,0.415,0.588,0.432
79:06:11,64,1.066666667,0.415,0.589,0.432
79:06:12,65,1.083333333,0.416,0.588,0.431
79:06:13,66,1.1,0.415,0.587,0.433
79:06:14,67,1.116666667,0.415,0.589,0.432
79:06:15,68,1.133333333,0.416,0.589,0.432
79:06:16,69,1.15,0.415,0.589,0.431
79:06:17,70,1.166666667,0.415,0.588,0.433
79:06:18,71,1.183333333,0.415,0.59,0.431
79:06:19,72,1.2,0.415,0.588,0.432
79:06:20,73,1.216666667,0.414,0.589,0.431
79:06:21,74,1.233333333,0.415,0.589,0.433
79:06:22,75,1.25,0.416,0.59,0.431
79:06:23,76,1.266666667,0.417,0.588,0.432
79:06:24,77,1.283333333,0.416,0.59,0.432
79:06:25,78,1.3,0.417,0.59,0.432
